team,team_name,current_points,remaining_events,current_epa_mean,current_epa_norm,qualified_for_dcmp,current_epa,raw_prob,mean_final_points,p10_points,p50_points,p90_points,mean_rank,mean_margin_to_cutline,award_adjustment,calibrated_prob,points_only_rank,rank_delta_vs_points_only,top_swing_event_name,top_swing_event_qual_swing,probability_rank,tier,impact_worst_case_prob,impact_worst_case_delta
1678,Citrus Circuits,151.0,0.0,358.75,2083.0,True,358.75,1.0,151.0,151.0,151.0,151.0,1.0,95.81886666666666,0.0,1.0,1,0,,,1,Lock,1.0,0.0
1323,MadTown Robotics,146.0,0.0,313.54,2004.0,False,313.54,1.0,146.0,146.0,146.0,146.0,2.0,90.81886666666666,0.0,1.0,2,0,,,2,Lock,1.0,0.0
254,The Cheesy Poofs,145.0,0.0,331.69,2036.0,False,331.69,1.0,145.0,145.0,145.0,145.0,3.0,89.81886666666666,0.0,1.0,3,0,,,3,Lock,1.0,0.0
9470,Ctrl-Alt-Defeat,142.0,0.0,228.2,1855.0,False,228.2,1.0,142.0,142.0,142.0,142.0,4.0,86.81886666666666,0.0,1.0,4,0,,,4,Lock,1.0,0.0
604,Quixilver,137.0,0.0,233.43,1864.0,False,233.43,1.0,137.0,137.0,137.0,137.0,6.0,81.81886666666666,0.0,1.0,5,0,,,5,Lock,1.0,0.0
5940,BREAD,137.0,0.0,195.51,1798.0,False,195.51,1.0,137.0,137.0,137.0,137.0,5.0,81.81886666666666,0.0,1.0,6,0,,,6,Lock,1.0,0.0
581,Blazing Bulldogs,132.0,0.0,195.02,1797.0,False,195.02,1.0,132.0,132.0,132.0,132.0,7.089933333333334,76.81886666666666,0.0,1.0,7,0,,,7,Lock,1.0,0.0
3256,WarriorBorgs,54.0,1.0,138.53,1698.0,False,138.53,1.0,121.92113333333333,114.0,122.0,131.0,8.6286,66.74,0.0,1.0,34,26,CA District East Bay Event,0.0,8,Lock,1.0,0.0
6036,Peninsula Robotics,118.0,0.0,170.98,1755.0,False,170.98,1.0,118.0,118.0,118.0,118.0,9.097733333333334,62.818866666666665,0.0,1.0,8,-1,,,9,Lock,1.0,0.0
4698,Raider Robotics,57.0,1.0,111.65,1658.0,False,111.65,1.0,114.601,106.0,114.0,123.0,10.5804,59.419866666666664,0.0,1.0,31,21,CA District East Bay Event,0.0,10,Lock,1.0,0.0
3970,Duncan Dynamics,114.0,0.0,112.35,1659.0,False,112.35,1.0,114.0,114.0,114.0,114.0,10.652066666666666,58.818866666666665,0.0,1.0,9,-2,,,11,Lock,1.0,0.0
972,Iron Claw,45.0,1.0,112.33,1659.0,False,112.33,1.0,107.64033333333333,100.0,107.0,117.0,12.582266666666667,52.4592,0.0,1.0,54,42,CA District East Bay Event,0.0,12,Lock,1.0,0.0
8,Paly Robotics,49.0,1.0,70.76,1577.0,False,70.76,1.0,104.19446666666667,96.0,104.0,113.0,13.651266666666666,49.013333333333335,0.0,1.0,41,28,CA District Contra Costa Event,0.0,13,Lock,1.0,0.0
846,The Funky Monkeys,39.0,1.0,122.27,1673.0,False,122.27,1.0,102.9878,95.0,102.0,112.0,14.244133333333334,47.806666666666665,0.0,1.0,65,51,CA District Aerospace Valley Event,0.0,14,Lock,1.0,0.0
