team,team_name,current_points,remaining_events,current_epa_mean,current_epa_norm,qualified_for_dcmp,current_epa,raw_prob,mean_final_points,p10_points,p50_points,p90_points,mean_rank,mean_margin_to_cutline,award_adjustment,calibrated_prob,points_only_rank,rank_delta_vs_points_only,top_swing_event_name,top_swing_event_qual_swing,probability_rank,tier,impact_worst_case_prob,impact_worst_case_delta
9408,Warren Warbots,145.0,0.0,195.34,1798.0,False,195.34,1.0,145.0,145.0,145.0,145.0,1.3837333333333333,94.48573333333333,0.0,1.0,1,0,,,1,Lock,1.0,0.0
4414,HighTide,73.0,1.0,282.81,1951.0,False,282.81,1.0,143.0244,135.0,143.0,152.0,2.3782,92.51013333333333,0.0,1.0,19,17,CA District Orange County Event,0.0,2,Lock,1.0,0.0
3128,The Aluminum Narwhals,143.0,0.0,218.96,1839.0,False,218.96,1.0,143.0,143.0,143.0,143.0,2.534666666666667,92.48573333333333,0.0,1.0,2,-1,,,3,Lock,1.0,0.0
3476,Code Orange,73.0,1.0,205.62,1816.0,False,205.62,1.0,133.34933333333333,125.0,133.0,142.0,4.382,82.83506666666666,0.0,1.0,20,16,CA District Orange County Event,0.0,4,Lock,1.0,0.0
6995,NOMAD,128.0,0.0,144.23,1708.0,False,144.23,1.0,128.0,128.0,128.0,128.0,5.0058,77.48573333333333,0.0,1.0,3,-2,,,5,Lock,1.0,0.0
7415,Jaguar Robotics Sponsored By Feit Electric,127.0,0.0,147.8,1714.0,False,147.8,1.0,127.0,127.0,127.0,127.0,6.1016,76.48573333333333,0.0,1.0,4,-2,,,6,Lock,1.0,0.0
687,The Nerd Herd,59.0,1.0,116.29,1665.0,False,116.29,1.0,123.35353333333333,115.0,123.0,132.0,7.656933333333333,72.83926666666666,0.0,1.0,33,26,CA District Aerospace Valley Event,0.0,7,Lock,1.0,0.0
973,Greybots,122.0,0.0,175.47,1763.0,False,175.47,1.0,122.0,122.0,122.0,122.0,7.5898,71.48573333333333,0.0,1.0,5,-3,,,8,Lock,1.0,0.0
2102,Team Paradox,122.0,0.0,150.2,1719.0,False,150.2,1.0,122.0,122.0,122.0,122.0,8.5898,71.48573333333333,0.0,1.0,6,-3,,,9,Lock,1.0,0.0
599,The Robodox,115.0,0.0,168.51,1751.0,False,168.51,1.0,115.0,115.0,115.0,115.0,10.290266666666666,64.48573333333333,0.0,1.0,7,-3,,,10,Lock,1.0,0.0
2637,Phantom Catz,73.0,1.0,90.49,1622.0,False,90.49,1.0,113.09613333333333,105.0,112.0,122.0,10.689266666666667,62.58186666666667,0.0,1.0,21,10,CA District Aerospace Valley Event,0.0,11,Lock,1.0,0.0
4201,The Vitruvian Bots,65.0,1.0,85.3,1610.0,True,85.3,1.0,105.01173333333334,97.0,104.0,114.0,13.169333333333332,54.49746666666667,0.0,1.0,28,16,CA District Orange County Event,0.0,12,Lock,1.0,0.0
1538,The Holy Cows,105.0,0.0,115.56,1664.0,True,115.56,1.0,105.0,105.0,105.0,105.0,12.525933333333333,54.485733333333336,0.0,1.0,8,-5,,,13,Lock,1.0,0.0
4123,Tribe Robotics,103.0,0.0,75.29,1588.0,False,75.29,1.0,103.0,103.0,103.0,103.0,13.769533333333333,52.485733333333336,0.0,1.0,9,-5,,,14,Lock,1.0,0.0
5199,Robot Dolphins From Outer Space,49.0,1.0,101.76,1644.0,False,101.76,1.0,97.06706666666666,89.0,96.0,106.0,16.1366,46.5528,0.0,1.0,44,29,CA District Orange County Event,0.0,15,Lock,1.0,0.0
3255,SuperNURDs,97.0,0.0,108.41,1653.0,False,108.41,1.0,97.0,97.0,97.0,97.0,15.693333333333333,46.485733333333336,0.0,1.0,10,-6,,,16,Lock,1.0,0.0
9452,LHS Steel Stingers,92.0,0.0,94.34,1631.0,False,94.34,1.0,92.0,92.0,92.0,92.0,17.653266666666667,41.485733333333336,0.0,1.0,11,-6,,,17,Lock,1.0,0.0
2659,RoboWarriors,31.0,1.0,113.26,1660.0,False,113.26,1.0,91.1734,83.0,91.0,100.0,19.006533333333334,40.65913333333334,0.0,1.0,70,52,CA District Aerospace Valley Event,0.0,18,Lock,1.0,0.0
696,Circuit Breakers,38.0,1.0,105.45,1649.0,False,105.45,1.0,89.80033333333333,82.0,89.0,99.0,19.752266666666667,39.28606666666666,0.0,1.0,58,39,CA District Aerospace Valley Event,0.0,19,Lock,1.0,0.0
3512,Spartatroniks,88.0,0.0,157.25,1731.0,False,157.25,1.0,88.0,88.0,88.0,88.0,19.6468,37.485733333333336,0.0,1.0,12,-8,,,20,Lock,1.0,0.0
1138,Eagle Engineering,86.0,0.0,41.95,1510.0,False,41.95,1.0,86.0,86.0,86.0,86.0,21.139533333333333,35.485733333333336,0.0,1.0,13,-8,,,21,Lock,1.0,0.0
294,Beach Cities Robotics,49.0,1.0,80.8,1600.0,False,80.8,1.0,85.70966666666666,77.0,85.0,95.0,22.251266666666666,35.1954,0.0,1.0,45,23,CA District Aerospace Valley Event,0.0,22,Lock,1.0,0.0
1148,Harvard Westlake Robotics,85.0,0.0,52.32,1535.0,False,52.32,1.0,85.0,85.0,85.0,85.0,22.393533333333334,34.485733333333336,0.0,1.0,14,-9,,,23,Lock,1.0,0.0
4415,EPIC Robotz,81.0,0.0,84.07,1608.0,False,84.07,1.0,81.0,81.0,81.0,81.0,24.475933333333334,30.485733333333332,0.0,1.0,15,-9,,,24,Lock,1.0,0.0
2485,Overclocked,81.0,0.0,71.27,1579.0,False,71.27,1.0,81.0,81.0,81.0,81.0,25.4768,30.485733333333332,0.0,1.0,16,-9,,,25,Lock,1.0,0.0
589,Falkon Robotics,52.0,1.0,35.3,1492.0,True,35.3,1.0,80.15466666666667,72.0,80.0,89.0,25.6796,29.6404,0.0,1.0,38,12,CA District Aerospace Valley Event,0.0,26,Lock,1.0,0.0
3647,Millennium Falcons,80.0,0.0,72.19,1581.0,False,72.19,1.0,80.0,80.0,80.0,80.0,26.738733333333332,29.485733333333332,0.0,1.0,17,-10,,,27,Lock,1.0,0.0
8119,TigerBotics,42.0,1.0,74.1,1585.0,True,74.1,1.0,75.0992,67.0,74.0,84.0,29.872866666666667,24.584933333333332,0.0,1.0,54,26,CA District Aerospace Valley Event,0.0,28,Lock,1.0,0.0
1160,Titanium Robotics,75.0,0.0,81.77,1602.0,False,81.77,1.0,75.0,75.0,75.0,75.0,29.166333333333334,24.485733333333332,0.0,1.0,18,-11,,,29,Lock,1.0,0.0
1388,Eagle Robotics,69.0,0.0,100.65,1642.0,False,100.65,1.0,69.0,69.0,69.0,69.0,32.328066666666665,18.485733333333332,0.0,1.0,22,-8,,,30,Lock,1.0,0.0
2584,Flame of The West,69.0,0.0,82.72,1604.0,False,82.72,1.0,69.0,69.0,69.0,69.0,33.394,18.485733333333332,0.0,1.0,23,-8,,,31,Lock,1.0,0.0
2710,JetStream,68.0,0.0,60.46,1554.0,False,60.46,1.0,68.0,68.0,68.0,68.0,34.7292,17.485733333333332,0.0,1.0,24,-8,,,32,Lock,1.0,0.0
9084,Octobots,67.0,0.0,92.28,1626.0,False,92.28,1.0,67.0,67.0,67.0,67.0,36.15206666666667,16.485733333333332,0.0,1.0,25,-8,,,33,Lock,1.0,0.0
4,Team 4 ELEMENT,67.0,0.0,81.23,1601.0,False,81.23,1.0,67.0,67.0,67.0,67.0,38.2032,16.485733333333332,0.0,1.0,26,-8,,,34,Lock,1.0,0.0
2429,The Blockheads,67.0,0.0,68.81,1573.0,False,68.81,1.0,67.0,67.0,67.0,67.0,37.15206666666667,16.485733333333332,0.0,1.0,27,-8,,,35,Lock,1.0,0.0
812,The Midnight Mechanics,64.0,0.0,56.26,1544.0,False,56.26,1.0,64.0,64.0,64.0,64.0,40.438066666666664,13.485733333333334,0.0,1.0,29,-7,,,36,Lock,1.0,0.0
5136,MechaPirates,63.0,0.0,76.44,1590.0,False,76.44,1.0,63.0,63.0,63.0,63.0,42.903666666666666,12.485733333333334,0.0,1.0,30,-7,,,37,Lock,1.0,0.0
4999,Momentum,63.0,0.0,41.17,1508.0,False,41.17,1.0,63.0,63.0,63.0,63.0,41.8404,12.485733333333334,0.0,1.0,31,-7,,,38,Lock,1.0,0.0
11024,HYPERNOVA,62.0,0.0,18.54,1435.0,False,18.54,1.0,62.0,62.0,62.0,62.0,44.3026,11.485733333333334,0.0,1.0,32,-7,,,39,Lock,1.0,0.0
968,RAWC (Robotics Alliance Of West Covina),58.0,0.0,21.38,1447.0,False,21.38,1.0,58.0,58.0,58.0,58.0,47.266733333333335,7.485733333333333,0.0,1.0,34,-6,,,40,Lock,1.0,0.0
1197,TorBots,56.0,0.0,44.78,1517.0,False,44.78,1.0,56.0,56.0,56.0,56.0,49.647933333333334,5.485733333333333,0.0,1.0,35,-6,,,41,Lock,1.0,0.0
3925,Ventura Robotics,54.0,0.0,47.77,1524.0,False,47.77,1.0,54.0,54.0,54.0,54.0,51.84673333333333,3.485733333333333,0.0,1.0,36,-6,,,42,Lock,1.0,0.0
2984,Vikings Robotics,54.0,0.0,44.76,1517.0,False,44.76,1.0,54.0,54.0,54.0,54.0,53.0208,3.485733333333333,0.0,1.0,37,-6,,,43,Lock,0.9990666666666667,-0.0009333333333333416
5474,Clairemonster,34.0,1.0,63.58,1561.0,False,63.58,0.9999333333333333,72.8456,65.0,72.0,82.0,31.581466666666667,22.331333333333333,0.0,0.9999333333333333,65,21,CA District Orange County Event,0.00022036139268399868,44,Lock,0.9997333333333334,-0.00019999999999997797
2404,Team NEY Techs (TNT),43.0,1.0,35.32,1492.0,False,35.32,0.9995333333333334,71.69446666666667,64.0,71.0,81.0,32.0316,21.1802,0.0,0.9995333333333334,52,7,CA District Aerospace Valley Event,0.0018224420723770285,45,Lock,0.9992,-0.00033333333333340764
