team,team_name,current_points,remaining_events,current_epa_mean,current_epa_norm,qualified_for_dcmp,current_epa,raw_prob,mean_final_points,p10_points,p50_points,p90_points,mean_rank,mean_margin_to_cutline,award_adjustment,calibrated_prob,points_only_rank,rank_delta_vs_points_only,top_swing_event_name,top_swing_event_qual_swing,probability_rank,tier,impact_worst_case_prob,impact_worst_case_delta
422,The Mech Tech Dragons,147.0,0.0,162.78,1741.0,True,162.78,1.0,147.0,147.0,147.0,147.0,1.0,115.0,0.0,1.0,1,0,,0.0,1,Lock,1.0,0.0
9072,TigerBots,146.0,0.0,185.32,1780.0,True,185.32,1.0,146.0,146.0,146.0,146.0,2.0,114.0,0.0,1.0,2,0,,0.0,2,Lock,1.0,0.0
2106,The Junkyard Dogs,145.0,0.0,175.11,1762.0,True,175.11,1.0,145.0,145.0,145.0,145.0,3.0,113.0,0.0,1.0,3,0,,0.0,3,Lock,1.0,0.0
836,The RoboBees,131.0,0.0,139.09,1699.0,True,139.09,1.0,131.0,131.0,131.0,131.0,4.0,99.0,0.0,1.0,4,0,,0.0,4,Lock,1.0,0.0
888,Robotiators,129.0,0.0,123.66,1675.0,True,123.66,1.0,129.0,129.0,129.0,129.0,5.0,97.0,0.0,1.0,5,0,,0.0,5,Lock,1.0,0.0
1908,ShoreBots,128.0,0.0,92.66,1627.0,True,92.66,1.0,128.0,128.0,128.0,128.0,6.0,96.0,0.0,1.0,6,0,,0.0,6,Lock,1.0,0.0
1731,Fresta Valley Robotics Club,125.0,0.0,123.04,1674.0,True,123.04,1.0,125.0,125.0,125.0,125.0,7.0,93.0,0.0,1.0,7,0,,0.0,7,Lock,1.0,0.0
5338,RoboLoCo,122.0,0.0,98.84,1639.0,True,98.84,1.0,122.0,122.0,122.0,122.0,8.0,90.0,0.0,1.0,8,0,,0.0,8,Lock,1.0,0.0
2199,Robo-Lions,120.0,0.0,131.22,1686.0,True,131.22,1.0,120.0,120.0,120.0,120.0,9.0,88.0,0.0,1.0,9,0,,0.0,9,Lock,1.0,0.0
401,Copperhead Robotics,119.0,0.0,111.6,1658.0,True,111.6,1.0,119.0,119.0,119.0,119.0,10.0,87.0,0.0,1.0,10,0,,0.0,10,Lock,1.0,0.0
4099,The Falcons,110.0,0.0,106.51,1651.0,True,106.51,1.0,110.0,110.0,110.0,110.0,11.0,78.0,0.0,1.0,11,0,,0.0,11,Lock,1.0,0.0
540,TALON 540 Godwin Robotics,109.0,0.0,77.69,1593.0,True,77.69,1.0,109.0,109.0,109.0,109.0,12.0,77.0,0.0,1.0,12,0,,0.0,12,Lock,1.0,0.0
1629,Garrett Coalition (GaCo),108.0,0.0,113.51,1661.0,True,113.51,1.0,108.0,108.0,108.0,108.0,13.0,76.0,0.0,1.0,13,0,,0.0,13,Lock,1.0,0.0
2537,Space RAIDers,107.0,0.0,99.34,1640.0,True,99.34,1.0,107.0,107.0,107.0,107.0,14.0,75.0,0.0,1.0,14,0,,0.0,14,Lock,1.0,0.0
346,RoboHawks,106.0,0.0,93.78,1629.0,True,93.78,1.0,106.0,106.0,106.0,106.0,15.0,74.0,0.0,1.0,15,0,,0.0,15,Lock,1.0,0.0
619,Cavalier Robotics,105.0,0.0,124.59,1676.0,True,124.59,1.0,105.0,105.0,105.0,105.0,16.0,73.0,0.0,1.0,16,0,,0.0,16,Lock,1.0,0.0
614,Night Hawks,104.0,0.0,88.1,1617.0,True,88.1,1.0,104.0,104.0,104.0,104.0,17.0,72.0,0.0,1.0,17,0,,0.0,17,Lock,1.0,0.0
449,The Blair Robot Project,92.0,0.0,128.93,1682.0,True,128.93,1.0,92.0,92.0,92.0,92.0,18.0,60.0,0.0,1.0,18,0,,0.0,18,Lock,1.0,0.0
1727,REX,89.0,0.0,109.48,1655.0,True,109.48,1.0,89.0,89.0,89.0,89.0,19.0,57.0,0.0,1.0,19,0,,0.0,19,Lock,1.0,0.0
1086,Blue Cheese,89.0,0.0,85.44,1611.0,True,85.44,1.0,89.0,89.0,89.0,89.0,20.0,57.0,0.0,1.0,20,0,,0.0,20,Lock,1.0,0.0
