team,team_name,remaining_events,expected_added_points,added_points_p10,added_points_p50,added_points_p90,qual_prob_if_low_total_added,qual_prob_if_mid_total_added,qual_prob_if_high_total_added
116,Epsilon Delta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,NASA Knights,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
339,Kilroy Robotics,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
346,RoboHawks,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
401,Copperhead Robotics,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
404,⚒️   404 ART Not Found  ⚒️,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
422,The Mech Tech Dragons,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
449,The Blair Robot Project,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
526,Saxon Sparks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
539,Titan Robotics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
540,TALON 540 Godwin Robotics,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
611,Saxons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
612,Chantilly Robotics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
614,Night Hawks,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
617,Enginerds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
619,Cavalier Robotics,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
620,Warbots,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
623,Oakton Cougar Robotics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
686,Bovine Intervention,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
836,The RoboBees,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
888,Robotiators,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
977,Cometbots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1086,Blue Cheese,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
1111,Power Hawks Robotics,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
1262,the STAGS,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
1389,The Body Electric,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
1418,Vae Victis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1446,Robo Knights,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1522,DOTM - Defenders of the Multiverse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1599,CircuiTree,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1629,Garrett Coalition (GaCo),0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
1719,The Umbrella Corporation,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
1727,REX,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
1731,Fresta Valley Robotics Club,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
1793,The Aviators,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1885,Comet Robotics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1895,Lambda Corps,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
