team,team_name,current_points,remaining_events,current_epa_mean,current_epa_norm,qualified_for_dcmp,current_epa,raw_prob,mean_final_points,p10_points,p50_points,p90_points,mean_rank,mean_margin_to_cutline,award_adjustment,calibrated_prob,points_only_rank,rank_delta_vs_points_only,top_swing_event_name,top_swing_event_qual_swing,probability_rank,tier,impact_worst_case_prob,impact_worst_case_delta
2337,EngiNERDs,150.0,0.0,170.68,1754.0,True,170.68,1.0,150.0,150.0,150.0,150.0,1.2268666666666668,87.8386,0.0,1.0,1,0,,,1,Lock,1.0,0.0
7769,The CREW,146.0,0.0,282.14,1949.0,False,282.14,1.0,146.0,146.0,146.0,146.0,2.5489333333333333,83.8386,0.0,1.0,2,0,,,2,Lock,1.0,0.0
2767,Stryke Force,145.0,0.0,214.41,1831.0,False,214.41,1.0,145.0,145.0,145.0,145.0,3.6556,82.8386,0.0,1.0,3,0,,,3,Lock,1.0,0.0
4362,Gems,144.0,0.0,188.51,1786.0,False,188.51,1.0,144.0,144.0,144.0,144.0,4.777,81.8386,0.0,1.0,4,0,,,4,Lock,1.0,0.0
27,Team RUSH,73.0,1.0,242.37,1880.0,False,242.37,1.0,143.822,136.0,144.0,153.0,5.952466666666667,81.6606,0.0,1.0,76,71,FIM District Livonia Event presented by Aisin,0.0,5,Lock,1.0,0.0
3539,Byting Bulldogs,141.0,0.0,162.75,1741.0,False,162.75,1.0,141.0,141.0,141.0,141.0,6.269533333333333,78.8386,0.0,1.0,5,-1,,,6,Lock,1.0,0.0
5712,Hemlock's Gray Matter,141.0,0.0,147.72,1714.0,False,147.72,1.0,141.0,141.0,141.0,141.0,7.269533333333333,78.8386,0.0,1.0,6,-1,,,7,Lock,1.0,0.0
5460,Strike Zone,140.0,0.0,201.23,1808.0,False,201.23,1.0,140.0,140.0,140.0,140.0,8.462,77.8386,0.0,1.0,7,-1,,,8,Lock,1.0,0.0
8608,Alpha Bots,140.0,0.0,141.04,1703.0,False,141.04,1.0,140.0,140.0,140.0,140.0,9.462,77.8386,0.0,1.0,8,-1,,,9,Lock,1.0,0.0
7166,Red Thunder Robotics,139.0,0.0,158.48,1733.0,True,158.48,1.0,139.0,139.0,139.0,139.0,10.7088,76.8386,0.0,1.0,9,-1,,,10,Lock,1.0,0.0
3603,Cyber Coyotes,73.0,1.0,97.1,1636.0,False,97.1,1.0,136.0502,128.0,136.0,145.0,12.6528,73.8888,0.0,1.0,77,66,FIM District Ferris State Event presented by Ferris State University,0.0,11,Lock,1.0,0.0
68,Truck Town Thunder,70.0,1.0,132.08,1687.0,False,132.08,1.0,135.3032,127.0,135.0,144.0,13.413733333333333,73.1418,0.0,1.0,87,75,FIM District Fenton Event presented by Gene Haas Foundation,0.0,12,Lock,1.0,0.0
6090,Wayland Wildcats,134.0,0.0,157.15,1731.0,False,157.15,1.0,134.0,134.0,134.0,134.0,13.225933333333334,71.8386,0.0,1.0,10,-3,,,13,Lock,1.0,0.0
3414,Hackbots,74.0,1.0,156.78,1730.0,False,156.78,1.0,133.76653333333334,126.0,133.0,143.0,14.8284,71.60513333333333,0.0,1.0,73,59,FIM District Livonia Event presented by Aisin,0.0,14,Lock,1.0,0.0
33,Killer Bees,132.0,0.0,172.89,1758.0,False,172.89,1.0,132.0,132.0,132.0,132.0,15.0256,69.8386,0.0,1.0,11,-4,,,15,Lock,1.0,0.0
6002,ZooBOTix,132.0,0.0,166.52,1747.0,False,166.52,1.0,132.0,132.0,132.0,132.0,16.0256,69.8386,0.0,1.0,12,-4,,,16,Lock,1.0,0.0
4237,Team Lance-A-Bot,131.0,0.0,156.96,1730.0,False,156.96,1.0,131.0,131.0,131.0,131.0,17.44846666666667,68.8386,0.0,1.0,13,-4,,,17,Lock,1.0,0.0
67,The HOT Team,130.0,0.0,164.16,1743.0,False,164.16,1.0,130.0,130.0,130.0,130.0,18.891266666666667,67.8386,0.0,1.0,14,-4,,,18,Lock,1.0,0.0
4391,BraveBots,69.0,1.0,123.38,1674.0,False,123.38,1.0,129.27146666666667,121.0,129.0,138.0,19.0188,67.11006666666667,0.0,1.0,88,69,FIM District Escanaba Event,0.0,19,Lock,1.0,0.0
1918,NC GEARS,60.0,1.0,147.21,1713.0,False,147.21,1.0,127.04606666666666,119.0,127.0,136.0,21.247933333333332,64.88466666666666,0.0,1.0,117,97,FIM District Ferris State Event presented by Ferris State University,0.0,20,Lock,1.0,0.0
3538,RoboJackets,75.0,1.0,135.36,1693.0,True,135.36,1.0,126.91986666666666,119.0,126.0,136.0,21.08,64.75846666666666,0.0,1.0,69,48,FIM District Livonia Event presented by Aisin,0.0,21,Lock,1.0,0.0
5193,Pantheon,63.0,1.0,127.16,1679.0,False,127.16,1.0,124.2722,116.0,124.0,133.0,23.660333333333334,62.1108,0.0,1.0,105,83,FIM District Escanaba Event,0.0,22,Lock,1.0,0.0
2137,The Oxford RoboCats,124.0,0.0,176.03,1764.0,False,176.03,1.0,124.0,124.0,124.0,124.0,23.026866666666667,61.8386,0.0,1.0,15,-8,,,23,Lock,1.0,0.0
5166,Fabricators,76.0,1.0,89.24,1619.0,False,89.24,1.0,123.28266666666667,115.0,123.0,132.0,24.434866666666668,61.12126666666666,0.0,1.0,68,44,FIM District Kentwood Event presented by Dematic,0.0,24,Lock,1.0,0.0
2075,Enigma Robotics,63.0,1.0,108.35,1653.0,False,108.35,1.0,122.5674,114.0,122.0,131.0,25.399466666666665,60.406,0.0,1.0,106,81,FIM District Kentwood Event presented by Dematic,0.0,25,Lock,1.0,0.0
5660,Symmetrical Chaos,57.0,1.0,100.09,1641.0,False,100.09,1.0,122.30653333333333,114.0,122.0,131.0,25.759333333333334,60.145133333333334,0.0,1.0,128,102,FIM District Fenton Event presented by Gene Haas Foundation,0.0,26,Lock,1.0,0.0
1701,Robocubs,56.0,1.0,101.55,1644.0,False,101.55,1.0,121.77553333333333,114.0,121.0,131.0,26.324333333333332,59.614133333333335,0.0,1.0,130,103,FIM District Troy Event #2 presented by DTE Foundation,0.0,27,Lock,1.0,0.0
469,Las Guerrillas,120.0,0.0,119.06,1668.0,False,119.06,1.0,120.0,120.0,120.0,120.0,26.407466666666668,57.8386,0.0,1.0,16,-12,,,28,Lock,1.0,0.0
4967,That ONE Team-OurNextEngineers,119.0,0.0,86.59,1613.0,True,86.59,1.0,119.0,119.0,119.0,119.0,27.968466666666668,56.8386,0.0,1.0,17,-12,,,29,Lock,1.0,0.0
2054,Tech Vikes,116.0,0.0,134.16,1691.0,False,134.16,1.0,116.0,116.0,116.0,116.0,30.450333333333333,53.8386,0.0,1.0,18,-12,,,30,Lock,1.0,0.0
4398,Gladiators,116.0,0.0,101.61,1644.0,False,101.61,1.0,116.0,116.0,116.0,116.0,31.450333333333333,53.8386,0.0,1.0,19,-12,,,31,Lock,1.0,0.0
3656,Dexter Dreadbots,115.0,0.0,132.77,1688.0,False,132.77,1.0,115.0,115.0,115.0,115.0,33.91093333333333,52.8386,0.0,1.0,20,-12,,,32,Lock,1.0,0.0
302,The Dragons,115.0,0.0,76.27,1590.0,True,76.27,1.0,115.0,115.0,115.0,115.0,32.91093333333333,52.8386,0.0,1.0,21,-12,,,33,Lock,1.0,0.0
5086,Cadillac Connectors,62.0,1.0,105.27,1649.0,False,105.27,1.0,114.32526666666666,106.0,114.0,123.0,34.66173333333333,52.163866666666664,0.0,1.0,108,74,FIM District Escanaba Event,0.0,34,Lock,1.0,0.0
6615,Bellevillains,114.0,0.0,104.06,1647.0,False,104.06,1.0,114.0,114.0,114.0,114.0,35.36613333333333,51.8386,0.0,1.0,22,-13,,,35,Lock,1.0,0.0
8612,Calvin Christian Robotics,68.0,1.0,101.84,1644.0,False,101.84,1.0,113.81753333333333,106.0,113.0,123.0,35.07966666666667,51.65613333333334,0.0,1.0,93,57,FIM District Escanaba Event,0.0,36,Lock,1.0,0.0
1023,Bedford Express,50.0,1.0,109.18,1655.0,False,109.18,1.0,112.50373333333333,104.0,112.0,121.0,37.10706666666667,50.342333333333336,0.0,1.0,158,121,FIM District Kentwood Event presented by Dematic,0.0,37,Lock,1.0,0.0
9757,Mecha Marauders,59.0,1.0,83.77,1607.0,False,83.77,1.0,111.15446666666666,103.0,110.0,120.0,38.52546666666667,48.993066666666664,0.0,1.0,119,81,FIM District Fenton Event presented by Gene Haas Foundation,0.0,38,Lock,1.0,0.0
2851,Crevolution,110.0,0.0,149.22,1717.0,False,149.22,1.0,110.0,110.0,110.0,110.0,38.2842,47.8386,0.0,1.0,23,-16,,,39,Lock,1.0,0.0
5216,E-Ville Empire,110.0,0.0,109.58,1655.0,False,109.58,1.0,110.0,110.0,110.0,110.0,39.370066666666666,47.8386,0.0,1.0,24,-16,,,40,Lock,1.0,0.0
5114,Titanium Tigers,55.0,1.0,95.35,1633.0,False,95.35,1.0,109.9516,102.0,109.0,119.0,40.193266666666666,47.7902,0.0,1.0,134,93,FIM District Fenton Event presented by Gene Haas Foundation,0.0,41,Lock,1.0,0.0
5534,Onaway Onabots,109.0,0.0,81.2,1601.0,False,81.2,1.0,109.0,109.0,109.0,109.0,40.7722,46.8386,0.0,1.0,25,-17,,,42,Lock,1.0,0.0
8517,Bounty Hunters,107.0,0.0,103.67,1647.0,False,103.67,1.0,107.0,107.0,107.0,107.0,42.684533333333334,44.8386,0.0,1.0,26,-17,,,43,Lock,1.0,0.0
9210,Fighting Falcons,105.0,0.0,104.27,1647.0,False,104.27,1.0,105.0,105.0,105.0,105.0,44.52486666666667,42.8386,0.0,1.0,27,-17,,,44,Lock,1.0,0.0
3175,Knight Vision,105.0,0.0,90.79,1623.0,False,90.79,1.0,105.0,105.0,105.0,105.0,45.52486666666667,42.8386,0.0,1.0,28,-17,,,45,Lock,1.0,0.0
9245,Laker Dreadnoughts,103.0,0.0,134.97,1692.0,False,134.97,1.0,103.0,103.0,103.0,103.0,47.440466666666666,40.8386,0.0,1.0,29,-17,,,46,Lock,1.0,0.0
3641,The Flying Toasters,103.0,0.0,125.05,1676.0,False,125.05,1.0,103.0,103.0,103.0,103.0,48.440466666666666,40.8386,0.0,1.0,30,-17,,,47,Lock,1.0,0.0
5535,Bionic Bison,51.0,1.0,79.51,1597.0,False,79.51,1.0,102.09973333333333,94.0,101.0,111.0,50.56666666666667,39.93833333333333,0.0,1.0,153,105,FIM District Ferris State Event presented by Ferris State University,0.0,48,Lock,1.0,0.0
