team,team_name,current_points,remaining_events,current_epa_mean,current_epa_norm,qualified_for_dcmp,current_epa,raw_prob,mean_final_points,p10_points,p50_points,p90_points,mean_rank,mean_margin_to_cutline,award_adjustment,calibrated_prob,points_only_rank,rank_delta_vs_points_only,top_swing_event_name,top_swing_event_qual_swing,probability_rank,tier,impact_worst_case_prob,impact_worst_case_delta
1501,Team THRUST,145.0,0.0,155.0,1727.0,False,155.0,1.0,145.0,145.0,145.0,145.0,1.3488,103.174,0.0,1.0,1,0,,,1,Lock,1.0,0.0
3940,CyberTooth,72.0,1.0,126.28,1678.0,False,126.28,1.0,143.1838,136.0,143.0,152.0,1.6655333333333333,101.3578,0.0,1.0,12,10,FIN District Washington Event presented by Toyota IN & VU CARA,0.0,2,Lock,1.0,0.0
7457,suPURDUEper Robotics,129.0,0.0,156.95,1730.0,False,156.95,1.0,129.0,129.0,129.0,129.0,2.9856666666666665,87.174,0.0,1.0,2,-1,,,3,Lock,1.0,0.0
4272,Maverick Robotics,107.0,0.0,132.3,1687.0,False,132.3,1.0,107.0,107.0,107.0,107.0,4.275533333333334,65.174,0.0,1.0,3,-1,,,4,Lock,1.0,0.0
10021,Guerin Catholic Golden Gears,103.0,0.0,127.07,1679.0,False,127.07,1.0,103.0,103.0,103.0,103.0,5.5582666666666665,61.174,0.0,1.0,4,-1,,,5,Lock,1.0,0.0
1024,Kil-A-Bytes,102.0,0.0,98.91,1639.0,False,98.91,1.0,102.0,102.0,102.0,102.0,6.662333333333334,60.174,0.0,1.0,5,-1,,,6,Lock,1.0,0.0
447,Team Roboto,48.0,1.0,74.23,1585.0,False,74.23,1.0,99.77973333333334,92.0,99.0,109.0,7.642266666666667,57.95373333333333,0.0,1.0,26,19,FIN District Washington Event presented by Toyota IN & VU CARA,0.0,7,Lock,1.0,0.0
868,TechHOUNDS,41.0,1.0,78.39,1595.0,True,78.39,1.0,98.763,91.0,98.0,108.0,8.063733333333333,56.937,0.0,1.0,29,21,FIN District Washington Event presented by Toyota IN & VU CARA,0.0,8,Lock,1.0,0.0
5010,Tiger Dynasty,98.0,0.0,98.03,1638.0,False,98.03,1.0,98.0,98.0,98.0,98.0,8.2716,56.174,0.0,1.0,6,-3,,,9,Lock,1.0,0.0
8116,Hatchet Robotics,47.0,1.0,61.94,1557.0,False,61.94,1.0,94.22326666666666,86.0,94.0,103.0,9.600133333333334,52.39726666666667,0.0,1.0,27,17,FIN District Washington Event presented by Toyota IN & VU CARA,0.0,10,Lock,1.0,0.0
3176,Purple Precision,91.0,0.0,94.98,1632.0,False,94.98,1.0,91.0,91.0,91.0,91.0,10.5248,49.174,0.0,1.0,7,-4,,,11,Lock,1.0,0.0
3494,The Quadrangles,87.0,0.0,99.01,1639.0,False,99.01,1.0,87.0,87.0,87.0,87.0,11.979933333333333,45.174,0.0,1.0,8,-4,,,12,Lock,1.0,0.0
829,The Digital Goats,82.0,0.0,76.12,1590.0,False,76.12,1.0,82.0,82.0,82.0,82.0,13.405866666666666,40.174,0.0,1.0,9,-4,,,13,Lock,1.0,0.0
761,TechPUPS,40.0,1.0,50.44,1530.0,False,50.44,1.0,81.82173333333333,74.0,81.0,91.0,14.065533333333333,39.995733333333334,0.0,1.0,30,16,FIN District Washington Event presented by Toyota IN & VU CARA,0.0,14,Lock,1.0,0.0
461,Westside Boiler Invasion,81.0,0.0,117.9,1667.0,True,117.9,1.0,81.0,81.0,81.0,81.0,14.4922,39.174,0.0,1.0,10,-5,,,15,Lock,1.0,0.0
6721,Tindley Trailblazers,78.0,0.0,76.8,1591.0,True,76.8,1.0,78.0,78.0,78.0,78.0,15.771333333333333,36.174,0.0,1.0,11,-5,,,16,Lock,1.0,0.0
10434,CYBEARS,68.0,0.0,15.9,1423.0,False,15.9,1.0,68.0,68.0,68.0,68.0,17.6158,26.174,0.0,1.0,13,-4,,,17,Lock,1.0,0.0
9119,Iron Legends,65.0,0.0,52.94,1536.0,False,52.94,1.0,65.0,65.0,65.0,65.0,19.089533333333332,23.174,0.0,1.0,14,-4,,,18,Lock,1.0,0.0
45,TechnoKats Robotics Team,64.0,0.0,53.93,1539.0,False,53.93,1.0,64.0,64.0,64.0,64.0,20.2648,22.174,0.0,1.0,15,-4,,,19,Lock,1.0,0.0
6956,SHAM-ROCK-BOTICS ☘,62.0,0.0,38.7,1501.0,False,38.7,1.0,62.0,62.0,62.0,62.0,21.717066666666668,20.174,0.0,1.0,16,-4,,,20,Lock,1.0,0.0
4982,Olympus Robotics,61.0,0.0,34.21,1489.0,False,34.21,1.0,61.0,61.0,61.0,61.0,22.970666666666666,19.174,0.0,1.0,17,-4,,,21,Lock,1.0,0.0
5402,Wreckless Robotics,60.0,0.0,72.17,1581.0,False,72.17,1.0,60.0,60.0,60.0,60.0,24.300066666666666,18.174,0.0,1.0,18,-4,,,22,Lock,1.0,0.0
1646,Precision Guessworks,59.0,0.0,64.65,1563.0,False,64.65,1.0,59.0,59.0,59.0,59.0,25.587533333333333,17.174,0.0,1.0,19,-4,,,23,Lock,1.0,0.0
9431,"Snider Panthers- ""The Gold Standard""",57.0,0.0,63.63,1561.0,False,63.63,1.0,57.0,57.0,57.0,57.0,27.209533333333333,15.174,0.0,1.0,20,-4,,,24,Lock,1.0,0.0
1741,Red Alert,56.0,0.0,51.68,1533.0,False,51.68,1.0,56.0,56.0,56.0,56.0,29.553933333333333,14.174,0.0,1.0,21,-4,,,25,Lock,1.0,0.0
4580,Conductors,56.0,0.0,33.02,1486.0,False,33.02,1.0,56.0,56.0,56.0,56.0,28.456333333333333,14.174,0.0,1.0,22,-4,,,26,Lock,1.0,0.0
234,Cyber Blue,54.0,0.0,77.46,1593.0,False,77.46,1.0,54.0,54.0,54.0,54.0,32.2392,12.174,0.0,1.0,23,-4,,,27,Lock,1.0,0.0
135,Penn Robotics Black Knights,54.0,0.0,37.61,1498.0,False,37.61,1.0,54.0,54.0,54.0,54.0,31.107733333333332,12.174,0.0,1.0,24,-4,,,28,Lock,1.0,0.0
