team,team_name,current_points,remaining_events,current_epa_mean,current_epa_norm,qualified_for_dcmp,current_epa,raw_prob,mean_final_points,p10_points,p50_points,p90_points,mean_rank,mean_margin_to_cutline,award_adjustment,calibrated_prob,points_only_rank,rank_delta_vs_points_only,top_swing_event_name,top_swing_event_qual_swing,probability_rank,tier,impact_worst_case_prob,impact_worst_case_delta
6369,Mercenary Robotics,149.0,0.0,180.87,1772.0,False,180.87,1.0,149.0,149.0,149.0,149.0,1.1301333333333334,96.90326666666667,0.0,1.0,1,0,,,1,Lock,1.0,0.0
6800,Valor,146.0,0.0,190.95,1790.0,False,190.95,1.0,146.0,146.0,146.0,146.0,2.2226,93.90326666666667,0.0,1.0,2,0,,,2,Lock,1.0,0.0
9128,ITKAN Robotics,145.0,0.0,236.02,1869.0,True,236.02,1.0,145.0,145.0,145.0,145.0,3.2584,92.90326666666667,0.0,1.0,3,0,,,3,Lock,1.0,0.0
2468,Team Appreciate,73.0,1.0,149.22,1717.0,False,149.22,1.0,141.62193333333335,134.0,141.0,151.0,3.8032666666666666,89.5252,0.0,1.0,28,24,FIT District Dripping Springs Event,0.0,4,Lock,1.0,0.0
148,Robowranglers,135.0,0.0,160.17,1736.0,False,160.17,1.0,135.0,135.0,135.0,135.0,5.080666666666667,82.90326666666667,0.0,1.0,4,-1,,,5,Lock,1.0,0.0
10340,ITKAN Girls,134.0,0.0,212.1,1827.0,False,212.1,1.0,134.0,134.0,134.0,134.0,6.1832,81.90326666666667,0.0,1.0,5,-1,,,6,Lock,1.0,0.0
118,Robonauts,129.0,0.0,133.4,1689.0,True,133.4,1.0,129.0,129.0,129.0,129.0,7.689266666666667,76.90326666666667,0.0,1.0,6,-1,,,7,Lock,1.0,0.0
6773,Max Throttle Mavericks,57.0,1.0,113.89,1661.0,False,113.89,1.0,127.06746666666666,119.0,127.0,136.0,9.303666666666667,74.97073333333333,0.0,1.0,42,34,FIT District Amarillo Event,0.0,8,Lock,1.0,0.0
2848,Rangers,127.0,0.0,158.5,1733.0,False,158.5,1.0,127.0,127.0,127.0,127.0,8.981066666666667,74.90326666666667,0.0,1.0,7,-2,,,9,Lock,1.0,0.0
3847,Spectrum   -△◅,58.0,1.0,111.75,1658.0,False,111.75,1.0,126.61953333333334,119.0,126.0,136.0,9.490066666666667,74.5228,0.0,1.0,40,30,FIT District Space City @ Friendswood Event #2,0.0,10,Lock,1.0,0.0
624,CRyptonite,123.0,0.0,121.61,1672.0,False,121.61,1.0,123.0,123.0,123.0,123.0,10.684133333333333,70.90326666666667,0.0,1.0,8,-3,,,11,Lock,1.0,0.0
2583,Orange Dynamite,122.0,0.0,143.19,1706.0,True,143.19,1.0,122.0,122.0,122.0,122.0,11.8416,69.90326666666667,0.0,1.0,9,-3,,,12,Lock,1.0,0.0
2582,PantherBots,121.0,0.0,152.37,1722.0,False,152.37,1.0,121.0,121.0,121.0,121.0,13.004066666666667,68.90326666666667,0.0,1.0,10,-3,,,13,Lock,1.0,0.0
3035,Droid Rage,55.0,1.0,83.76,1607.0,False,83.76,1.0,118.59093333333334,110.0,118.0,128.0,13.037666666666667,66.4942,0.0,1.0,46,32,FIT District Dripping Springs Event,0.0,14,Lock,1.0,0.0
5829,Awtybots,58.0,1.0,61.67,1557.0,False,61.67,1.0,110.81613333333334,103.0,110.0,120.0,15.604,58.7194,0.0,1.0,41,26,FIT District Space City @ Friendswood Event #2,0.0,15,Lock,1.0,0.0
1296,Full Metal Jackets,110.0,0.0,118.21,1667.0,False,118.21,1.0,110.0,110.0,110.0,110.0,15.480666666666666,57.90326666666667,0.0,1.0,11,-5,,,16,Lock,1.0,0.0
2881,Lady Cans,105.0,0.0,97.74,1637.0,True,97.74,1.0,105.0,105.0,105.0,105.0,17.11253333333333,52.90326666666667,0.0,1.0,12,-5,,,17,Lock,1.0,0.0
5572,Rosbots,104.0,0.0,97.27,1636.0,False,97.27,1.0,104.0,104.0,104.0,104.0,18.234466666666666,51.90326666666667,0.0,1.0,13,-5,,,18,Lock,1.0,0.0
