team,team_name,remaining_events,expected_added_points,added_points_p10,added_points_p50,added_points_p90,qual_prob_if_low_total_added,qual_prob_if_mid_total_added,qual_prob_if_high_total_added
118,Robonauts,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
127,Bluetonium,1.0,22.6934,15.0,22.0,32.0,0.009620384815392615,0.9949005609382968,1.0
148,Robowranglers,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
231,High Voltage,1.0,43.70206666666667,35.0,43.0,53.0,1.0,1.0,1.0
324,Chips,1.0,26.847533333333335,19.0,26.0,36.0,0.0,0.08967596081386586,1.0
418,Purple Haze,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
436,Purple Rain,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
457,⚙️ The Grease Monkeys ⚙️,1.0,39.52506666666667,31.0,39.0,49.0,1.0,1.0,1.0
624,CRyptonite,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
1164,Project NEO,1.0,21.346866666666667,13.0,21.0,30.0,1.0,1.0,1.0
1255,Blarglefish,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
1296,Full Metal Jackets,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
1477,Texas Torque,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
1745,The P-51 Mustangs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2158,the ausTIN CANs,1.0,26.409066666666668,18.0,26.0,35.0,0.9713936430317849,1.0,1.0
2468,Team Appreciate,1.0,68.62193333333333,61.0,68.0,78.0,1.0,1.0,1.0
2582,PantherBots,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2583,Orange Dynamite,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2585,Impact,1.0,28.721933333333332,21.0,28.0,38.0,0.0,0.0,0.7854687141874857
2587,DiscoBots,1.0,32.93646666666667,25.0,32.0,42.0,0.5241301907968574,1.0,1.0
2657,Team Thundercats,1.0,8.963933333333333,0.0,8.0,18.0,0.0,0.0,0.0
2687,Team Apprentice,1.0,37.4208,29.0,37.0,46.0,0.9727361246348588,1.0,1.0
2689,Team Alpha,1.0,44.907133333333334,37.0,44.0,54.0,1.0,1.0,1.0
2714,♨️ BBQ ♨️,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2728,♨️ TACO ♨️,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2789,TEXPLOSION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
