team,team_name,current_points,remaining_events,current_epa_mean,current_epa_norm,qualified_for_dcmp,current_epa,raw_prob,mean_final_points,p10_points,p50_points,p90_points,mean_rank,mean_margin_to_cutline,award_adjustment,calibrated_prob,points_only_rank,rank_delta_vs_points_only,top_swing_event_name,top_swing_event_qual_swing,probability_rank,tier,impact_worst_case_prob,impact_worst_case_delta
341,Miss Daisy,154.0,0.0,196.67,1800.0,True,196.67,1.0,154.0,154.0,154.0,154.0,1.0,101.4918,0.0,1.0,1,0,,,1,Lock,1.0,0.0
316,LUNATECS,150.0,0.0,190.54,1789.0,True,190.54,1.0,150.0,150.0,150.0,150.0,2.019066666666667,97.4918,0.0,1.0,2,0,,,2,Lock,1.0,0.0
8513,Sisters 1st,141.0,0.0,166.74,1748.0,False,166.74,1.0,141.0,141.0,141.0,141.0,3.1782,88.4918,0.0,1.0,3,0,,,3,Lock,1.0,0.0
2607,The Fighting RoboVikings,138.0,0.0,114.6,1662.0,False,114.6,1.0,138.0,138.0,138.0,138.0,4.447066666666666,85.4918,0.0,1.0,4,0,,,4,Lock,1.0,0.0
1403,Team 1403 Cougar Robotics,73.0,1.0,96.82,1636.0,False,96.82,1.0,133.17073333333335,125.0,133.0,142.0,6.190666666666667,80.66253333333333,0.0,1.0,25,20,FMA District Montgomery Event,0.0,5,Lock,1.0,0.0
103,Cybersonics,133.0,0.0,127.96,1680.0,False,127.96,1.0,133.0,133.0,133.0,133.0,6.055,80.4918,0.0,1.0,5,-1,,,6,Lock,1.0,0.0
1218,SCH Robotics,69.0,1.0,89.73,1620.0,True,89.73,1.0,130.88253333333333,123.0,130.0,140.0,6.9454,78.37433333333334,0.0,1.0,29,22,FMA District Philadelphia Event,0.0,7,Lock,1.0,0.0
9094,The Earthquakers,60.0,1.0,103.78,1647.0,False,103.78,1.0,130.45266666666666,123.0,130.0,140.0,7.0856,77.94446666666667,0.0,1.0,33,25,FMA District Philadelphia Event,0.0,8,Lock,1.0,0.0
2590,Nemesis,125.0,0.0,104.08,1647.0,True,104.08,1.0,125.0,125.0,125.0,125.0,8.671,72.4918,0.0,1.0,6,-3,,,9,Lock,1.0,0.0
5895,Peddie Robotics,53.0,1.0,115.21,1663.0,False,115.21,1.0,119.06206666666667,111.0,119.0,128.0,11.139866666666666,66.55386666666666,0.0,1.0,47,37,FMA District Montgomery Event,0.0,10,Lock,1.0,0.0
272,Cyber Crusaders,118.0,0.0,108.45,1654.0,True,108.45,1.0,118.0,118.0,118.0,118.0,11.502666666666666,65.4918,0.0,1.0,7,-4,,,11,Lock,1.0,0.0
5181,Explorer Robotics,118.0,0.0,94.83,1632.0,False,94.83,1.0,118.0,118.0,118.0,118.0,10.502666666666666,65.4918,0.0,1.0,8,-4,,,12,Lock,1.0,0.0
11,MORT,114.0,0.0,98.94,1639.0,False,98.94,1.0,114.0,114.0,114.0,114.0,12.880066666666666,61.4918,0.0,1.0,9,-4,,,13,Lock,1.0,0.0
1676,The Pascack PI-oneers,114.0,0.0,81.23,1601.0,True,81.23,1.0,114.0,114.0,114.0,114.0,13.880066666666666,61.4918,0.0,1.0,10,-4,,,14,Lock,1.0,0.0
2539,Krypton Cougars,104.0,0.0,114.96,1663.0,False,114.96,1.0,104.0,104.0,104.0,104.0,15.777,51.4918,0.0,1.0,11,-4,,,15,Lock,1.0,0.0
3637,The Daleks,58.0,1.0,64.39,1563.0,False,64.39,1.0,103.651,95.0,103.0,113.0,16.531533333333332,51.1428,0.0,1.0,38,22,FMA District Montgomery Event,0.0,16,Lock,1.0,0.0
484,Roboforce,40.0,1.0,102.65,1645.0,False,102.65,1.0,102.04233333333333,94.0,102.0,111.0,17.19333333333333,49.53413333333334,0.0,1.0,72,55,FMA District Montgomery Event,0.0,17,Lock,1.0,0.0
1923,The MidKnight Inventors,102.0,0.0,58.71,1550.0,False,58.71,1.0,102.0,102.0,102.0,102.0,17.0654,49.4918,0.0,1.0,12,-6,,,18,Lock,1.0,0.0
8706,MXS Bulldog Bots,96.0,0.0,100.79,1643.0,False,100.79,1.0,96.0,96.0,96.0,96.0,19.018733333333333,43.4918,0.0,1.0,13,-6,,,19,Lock,1.0,0.0
1391,The Metal Moose,44.0,1.0,77.72,1593.0,False,77.72,1.0,91.22706666666667,83.0,91.0,100.0,21.68166666666667,38.71886666666666,0.0,1.0,64,44,FMA District Philadelphia Event,0.0,20,Lock,1.0,0.0
1640,Sab-BOT-age,91.0,0.0,76.34,1590.0,False,76.34,1.0,91.0,91.0,91.0,91.0,21.722733333333334,38.4918,0.0,1.0,14,-7,,,21,Lock,1.0,0.0
9015,Questionable Engineering,91.0,0.0,38.65,1501.0,True,38.65,1.0,91.0,91.0,91.0,91.0,20.713266666666666,38.4918,0.0,1.0,15,-7,,,22,Lock,1.0,0.0
56,R.O.B.B.E.,51.0,1.0,45.15,1518.0,False,45.15,1.0,86.35746666666667,78.0,86.0,95.0,24.183133333333334,33.849266666666665,0.0,1.0,52,29,FMA District Montgomery Event,0.0,23,Lock,1.0,0.0
1672,Robo T-Birds,86.0,0.0,23.82,1456.0,False,23.82,1.0,86.0,86.0,86.0,86.0,23.62986666666667,33.4918,0.0,1.0,16,-8,,,24,Lock,1.0,0.0
555,Montclair Robotics,83.0,0.0,52.97,1536.0,False,52.97,1.0,83.0,83.0,83.0,83.0,25.2558,30.4918,0.0,1.0,17,-8,,,25,Lock,1.0,0.0
7045,MCCrusaders,44.0,1.0,54.93,1541.0,False,54.93,1.0,82.21033333333334,74.0,82.0,91.0,26.850666666666665,29.702133333333332,0.0,1.0,65,39,FMA District Montgomery Event,0.0,26,Lock,1.0,0.0
486,Positronic Panthers,80.0,0.0,29.03,1474.0,False,29.03,1.0,80.0,80.0,80.0,80.0,26.951,27.4918,0.0,1.0,18,-9,,,27,Lock,1.0,0.0
3314,Mechanical Mustangs,36.0,1.0,77.48,1593.0,False,77.48,1.0,79.13,71.0,79.0,88.0,29.649266666666666,26.6218,0.0,1.0,78,50,FMA District Montgomery Event,0.0,28,Lock,1.0,0.0
222,Tigertrons,78.0,0.0,50.05,1529.0,False,50.05,1.0,78.0,78.0,78.0,78.0,28.552333333333333,25.4918,0.0,1.0,19,-10,,,29,Lock,1.0,0.0
7587,Metuchen Momentum,77.0,0.0,80.39,1599.0,False,80.39,1.0,77.0,77.0,77.0,77.0,29.6686,24.4918,0.0,1.0,20,-10,,,30,Lock,1.0,0.0
193,MORT Beta,76.0,0.0,68.18,1572.0,False,68.18,1.0,76.0,76.0,76.0,76.0,31.0144,23.4918,0.0,1.0,21,-10,,,31,Lock,1.0,0.0
708,Hatters Robotics,76.0,0.0,55.45,1542.0,False,55.45,1.0,76.0,76.0,76.0,76.0,32.0144,23.4918,0.0,1.0,22,-10,,,32,Lock,1.0,0.0
5401,Fightin' Robotic Owls,75.0,0.0,70.76,1577.0,False,70.76,1.0,75.0,75.0,75.0,75.0,33.1486,22.4918,0.0,1.0,23,-10,,,33,Lock,1.0,0.0
190,Gompei and the HERD,73.0,0.0,157.77,1732.0,False,157.77,1.0,73.0,73.0,73.0,73.0,34.5706,20.4918,0.0,1.0,24,-10,,,34,Lock,1.0,0.0
4285,Camo-Bots,72.0,0.0,73.85,1584.0,False,73.85,1.0,72.0,72.0,72.0,72.0,35.8574,19.4918,0.0,1.0,26,-9,,,35,Lock,1.0,0.0
1168,Malvern Robotics,71.0,0.0,37.98,1499.0,False,37.98,1.0,71.0,71.0,71.0,71.0,38.11686666666667,18.4918,0.0,1.0,27,-9,,,36,Lock,1.0,0.0
7110,Heights Bytes,71.0,0.0,21.27,1446.0,False,21.27,1.0,71.0,71.0,71.0,71.0,37.05286666666667,18.4918,0.0,1.0,28,-9,,,37,Lock,1.0,0.0
1089,Team Mercury,69.0,0.0,74.32,1585.0,False,74.32,1.0,69.0,69.0,69.0,69.0,39.76873333333333,16.4918,0.0,1.0,30,-8,,,38,Lock,1.0,0.0
223,Xtreme Heat,65.0,0.0,28.23,1471.0,False,28.23,1.0,65.0,65.0,65.0,65.0,42.257266666666666,12.4918,0.0,1.0,31,-8,,,39,Lock,1.0,0.0
5789,The Other Owls,61.0,0.0,40.62,1506.0,False,40.62,1.0,61.0,61.0,61.0,61.0,45.0544,8.4918,0.0,1.0,32,-8,,,40,Lock,1.0,0.0
427,LANCE-A-LOT,60.0,0.0,33.16,1486.0,False,33.16,1.0,60.0,60.0,60.0,60.0,46.45486666666667,7.4918,0.0,1.0,34,-7,,,41,Lock,1.0,0.0
1807,Redbird Robotics,59.0,0.0,48.0,1525.0,False,48.0,1.0,59.0,59.0,59.0,59.0,50.36006666666667,6.4918,0.0,1.0,35,-7,,,42,Lock,1.0,0.0
10157,Roman Robotics,59.0,0.0,36.14,1494.0,False,36.14,1.0,59.0,59.0,59.0,59.0,49.22846666666667,6.4918,0.0,1.0,36,-7,,,43,Lock,1.0,0.0
5732,ROBOTIGERS,59.0,0.0,17.22,1429.0,False,17.22,1.0,59.0,59.0,59.0,59.0,48.112,6.4918,0.0,1.0,37,-7,,,44,Lock,1.0,0.0
1712,Dawgma,57.0,0.0,37.85,1499.0,False,37.85,1.0,57.0,57.0,57.0,57.0,53.64006666666667,4.4918,0.0,1.0,39,-6,,,45,Lock,1.0,0.0
1811,FRESH,57.0,0.0,30.98,1480.0,False,30.98,1.0,57.0,57.0,57.0,57.0,52.5202,4.4918,0.0,1.0,40,-6,,,46,Lock,1.0,0.0
10400,DART Doane Academy Robotics Team,56.0,0.0,18.74,1436.0,False,18.74,1.0,56.0,56.0,56.0,56.0,56.33646666666667,3.4918,0.0,1.0,41,-6,,,47,Lock,1.0,0.0
9416,International Θperatives of World Affairs,56.0,0.0,14.49,1417.0,False,14.49,1.0,56.0,56.0,56.0,56.0,55.14066666666667,3.4918,0.0,1.0,42,-6,,,48,Lock,1.0,0.0
10584,Ridge Robotics,55.0,0.0,41.82,1509.0,False,41.82,1.0,55.0,55.0,55.0,55.0,58.06406666666667,2.4918,0.0,1.0,43,-6,,,49,Lock,0.9998666666666667,-0.00013333333333331865
4575,Gemini,54.0,0.0,33.4,1487.0,False,33.4,1.0,54.0,54.0,54.0,54.0,59.730533333333334,1.4918,0.0,1.0,45,-5,,,50,Lock,0.9957333333333334,-0.004266666666666641
423,Simple Machines,31.0,1.0,32.87,1485.0,False,32.87,0.9994,72.4022,64.0,72.0,81.0,35.7502,19.894,0.0,0.9994,87,36,FMA District Philadelphia Event,0.0022151119862170443,51,Lock,0.9986666666666667,-0.0007333333333332526
41,RoboWarriors,54.0,0.0,12.93,1409.0,False,12.93,0.9992,54.0,54.0,54.0,54.0,60.7756,1.4918,0.0,0.9992,46,-6,,,52,Lock,0.9820666666666666,-0.017133333333333334
9027,PATH to Domination,54.0,0.0,45.55,1519.0,False,45.55,0.9954,54.0,54.0,54.0,54.0,61.7996,1.4918,0.0,0.9954,44,-9,,,53,Lock,0.9412,-0.054199999999999915
10949,Metalheads,43.0,1.0,16.81,1428.0,False,16.81,0.9866666666666667,65.92186666666667,58.0,65.0,75.0,41.9192,13.413666666666666,0.0,0.9866666666666667,67,13,FMA District Philadelphia Event,0.04485310607759585,54,Lock,0.9814,-0.005266666666666642
10600,Two Steps Ahead,33.0,1.0,22.17,1450.0,False,22.17,0.975,64.52966666666667,56.0,64.0,73.0,43.69453333333333,12.021466666666667,0.0,0.975,82,27,FMA District Philadelphia Event,0.09337649402390436,55,Lock,0.9684666666666667,-0.00653333333333328
2554,The Warhawks,53.0,0.0,21.7,1448.0,False,21.7,0.9586,53.0,53.0,53.0,53.0,63.4538,0.4918,0.0,0.9586,49,-7,,,56,Lock,0.7283333333333334,-0.23026666666666662
293,SPIKE,31.0,1.0,31.96,1482.0,False,31.96,0.9476666666666667,62.516666666666666,54.0,62.0,72.0,46.83753333333333,10.008466666666667,0.0,0.9476666666666667,88,31,FMA District Montgomery Event,0.19216646266829862,57,Maybe,0.9322666666666667,-0.01539999999999997
433,Firebirds,39.0,1.0,26.8,1466.0,False,26.8,0.8917333333333334,59.8306,52.0,59.0,69.0,50.968333333333334,7.3224,0.0,0.8917333333333334,74,16,FMA District Montgomery Event,0.3535045711797997,58,Maybe,0.8647333333333334,-0.027000000000000024
8075,CyberTigers,53.0,0.0,20.45,1443.0,False,20.45,0.8747333333333334,53.0,53.0,53.0,53.0,64.49933333333334,0.4918,0.0,0.8747333333333334,50,-9,,,59,Maybe,0.5070666666666667,-0.3676666666666667
1279,Cold Fusion,23.0,1.0,32.01,1483.0,False,32.01,0.8598,58.769133333333336,51.0,58.0,68.0,52.5462,6.260933333333333,0.0,0.8598,103,43,FMA District Philadelphia Event,0.5528391167192429,60,Maybe,0.832,-0.027800000000000047
25,Raider Robotix,30.0,1.0,39.03,1502.0,False,39.03,0.8415333333333334,58.630266666666664,50.0,58.0,68.0,53.892266666666664,6.122066666666667,0.0,0.8415333333333334,93,32,FMA District Montgomery Event,0.6068419708960939,61,Maybe,0.803,-0.03853333333333331
10979,Tiger Robotics,32.0,1.0,29.89,1476.0,False,29.89,0.7482666666666666,56.7436,49.0,56.0,66.0,57.752066666666664,4.2354,0.0,0.7482666666666666,83,21,FMA District Philadelphia Event,0.9012772751463545,62,Maybe,0.6945333333333333,-0.0537333333333333
5113,Combustible Lemons,53.0,0.0,37.78,1499.0,False,37.78,0.7139333333333333,53.0,53.0,53.0,53.0,65.55086666666666,0.4918,0.0,0.7139333333333333,48,-15,,,63,Maybe,0.2766,-0.4373333333333333
6921,Technados,23.0,1.0,44.86,1517.0,False,44.86,0.7068,56.1892,48.0,56.0,65.0,59.06486666666667,3.681,0.0,0.7068,102,38,FMA District Philadelphia Event,0.928235294117647,64,Maybe,0.6538666666666667,-0.05293333333333328
