team,team_name,remaining_events,expected_added_points,added_points_p10,added_points_p50,added_points_p90,qual_prob_if_low_total_added,qual_prob_if_mid_total_added,qual_prob_if_high_total_added
11,MORT,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
25,Raider Robotix,1.0,28.630266666666667,20.0,28.0,38.0,0.39315802910390607,1.0,1.0
41,RoboWarriors,0.0,0.0,0.0,0.0,0.0,0.9992,0.9992,0.9992
56,R.O.B.B.E.,1.0,35.35746666666667,27.0,35.0,44.0,1.0,1.0,1.0
75,RoboRaiders,1.0,25.739133333333335,18.0,25.0,35.0,0.0,0.0004884004884004884,0.9110907424381302
87,Diablo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,The Gearheads,1.0,26.132066666666667,18.0,26.0,35.0,0.0,0.0,0.6712503183091418
103,Cybersonics,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
190,Gompei and the HERD,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
193,MORT Beta,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
203,SOUPERBOTS,1.0,15.788533333333334,7.0,15.0,25.0,0.0,0.0,0.005018489170628632
204,Eastern Robotic Vikings,1.0,29.7142,21.0,29.0,39.0,0.0,0.0,0.5595111583421891
219,Team Impact,0.0,0.0,0.0,0.0,0.0,6.666666666666667e-05,6.666666666666667e-05,6.666666666666667e-05
222,Tigertrons,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
223,Xtreme Heat,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
272,Cyber Crusaders,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
293,SPIKE,1.0,31.516666666666666,23.0,31.0,41.0,0.8078335373317014,1.0,1.0
303,The T.E.S.T. Team,1.0,21.571866666666665,14.0,21.0,30.0,0.0,0.6247966156849983,1.0
316,LUNATECS,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
321,RoboLancers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
341,Miss Daisy,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
365,Miracle Workerz,1.0,27.446666666666665,19.0,27.0,36.0,0.0,0.0,0.9226050023596036
423,Simple Machines,1.0,41.4022,33.0,41.0,50.0,0.997784888013783,1.0,1.0
427,LANCE-A-LOT,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
428,BoroBlasters,1.0,21.086466666666666,13.0,20.0,30.0,0.0,0.0,0.5695100721213628
430,MORT GAMMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
433,Firebirds,1.0,20.8306,13.0,20.0,30.0,0.6464954288202003,1.0,1.0
484,Roboforce,1.0,62.04233333333333,54.0,62.0,71.0,1.0,1.0,1.0
486,Positronic Panthers,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
501,The PowerKnights,1.0,44.722,37.0,44.0,54.0,0.0,0.0,0.3824265877532438
555,Montclair Robotics,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
708,Hatters Robotics,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
709,Femme Tech Fatale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
714,Panthera,1.0,18.669133333333335,10.0,18.0,28.0,0.0,0.0,0.012724380822540331
752,Chargers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
816,Anomaly,1.0,8.1328,0.0,7.0,17.0,0.0,0.0,0.00045177320984865596
834,SparTechs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
862,Lightning Robotics,0.0,0.0,0.0,0.0,0.0,0.1902,0.1902,0.1902
1089,Team Mercury,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
1168,Malvern Robotics,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
1218,SCH Robotics,1.0,61.882533333333335,54.0,61.0,71.0,1.0,1.0,1.0
1257,Parallel Universe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1279,Cold Fusion,1.0,35.769133333333336,28.0,35.0,45.0,0.4471608832807571,1.0,1.0
1391,The Metal Moose,1.0,47.227066666666666,39.0,47.0,56.0,1.0,1.0,1.0
1403,Team 1403 Cougar Robotics,1.0,60.17073333333333,52.0,60.0,69.0,1.0,1.0,1.0
1626,Falcon Robotics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1640,Sab-BOT-age,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
1647,Iron Devils,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1672,Robo T-Birds,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
1676,The Pascack PI-oneers,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
1712,Dawgma,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
1807,Redbird Robotics,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
1811,FRESH,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
1923,The MidKnight Inventors,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2016,Mighty Monkey Wrenches,1.0,22.154866666666667,14.0,22.0,31.0,0.0,0.0,0.26067527308838134
2095,Direct Current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2180,Zero Gravity,1.0,10.6884,2.0,10.0,19.0,0.0,0.0,0.0
2191,Flux Core,1.0,19.4286,11.0,19.0,28.0,0.0,0.0,0.10112359550561797
2234,Alternating Current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2458,Team Chaos,1.0,7.5596,0.0,7.0,16.0,0.0,0.0,0.000752823086574655
2495,Hive Mind,1.0,22.679733333333335,15.0,22.0,32.0,0.0,0.7218493661446681,1.0
2539,Krypton Cougars,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2554,The Warhawks,0.0,0.0,0.0,0.0,0.0,0.9586,0.9586,0.9586
2559,Normality Zero,0.0,0.0,0.0,0.0,0.0,0.0011333333333333334,0.0011333333333333334,0.0011333333333333334
2577,Pingry Robotics,1.0,9.981533333333333,2.0,9.0,19.0,0.0,0.0,0.0
2590,Nemesis,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2607,The Fighting RoboVikings,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2720,Red Watch Robotics,1.0,24.767533333333333,17.0,24.0,34.0,0.0,0.0,0.4749095840867993
2722,Charge Robotics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3142,Aperture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3314,Mechanical Mustangs,1.0,43.13,35.0,43.0,52.0,1.0,1.0,1.0
3340,Union City EagleX Robotics,1.0,10.9966,3.0,10.0,20.0,0.0,0.0,0.0
3637,The Daleks,1.0,45.651,37.0,45.0,55.0,1.0,1.0,1.0
4285,Camo-Bots,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
4342,Demon Robotics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4361,Roxbotix,1.0,8.344533333333333,0.0,7.0,17.0,0.0,0.0,0.18406169665809768
4573,Rambotics,1.0,27.680666666666667,20.0,27.0,37.0,0.0,0.0,0.5617647058823529
4575,Gemini,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
4637,BambieBotz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4638,Jagbots,1.0,29.3402,21.0,29.0,38.0,0.0,0.0,0.016711722782010323
4652,Ironmen 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4653,Ironmen Robotics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4750,Bert,1.0,14.376,6.0,14.0,23.0,0.0,0.0,0.01090380421613763
5113,Combustible Lemons,0.0,0.0,0.0,0.0,0.0,0.7139333333333333,0.7139333333333333,0.7139333333333333
5181,Explorer Robotics,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
5401,Fightin' Robotic Owls,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
5407,Wolfpack Robotics,1.0,20.784,13.0,20.0,30.0,0.0,0.0,0.04233924318602805
5438,Technological Terrors,1.0,21.465,13.0,21.0,30.0,0.0,0.0012634238787113076,0.9976218787158145
5490,The Dark Byte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5624,TIGER TECH Robotics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5684,Titans of Tech,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5732,ROBOTIGERS,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
5789,The Other Owls,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
5895,Peddie Robotics,1.0,66.06206666666667,58.0,66.0,75.0,1.0,1.0,1.0
5992,Pirates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6016,Tiger Robotics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6226,Blue Devils,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6808,William Tennent Robotics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6860,Equitum Robotics,1.0,10.038866666666667,2.0,9.0,19.0,0.0,0.0,0.0005242463958060288
6897,Astraea Robotics,1.0,18.406466666666667,10.0,18.0,27.0,0.0,0.0,0.002885308968502044
6921,Technados,1.0,33.1892,25.0,33.0,42.0,0.07176470588235294,0.9973506743737958,1.0
6945,Children of the Corn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
