team,team_name,current_points,remaining_events,current_epa_mean,current_epa_norm,qualified_for_dcmp,current_epa,raw_prob,mean_final_points,p10_points,p50_points,p90_points,mean_rank,mean_margin_to_cutline,award_adjustment,calibrated_prob,points_only_rank,rank_delta_vs_points_only,top_swing_event_name,top_swing_event_qual_swing,probability_rank,tier,impact_worst_case_prob,impact_worst_case_delta
3506,YETI Robotics,150.0,0.0,109.22,1655.0,True,109.22,1.0,150.0,150.0,150.0,150.0,1.0,104.0,0.0,1.0,1,0,,0.0,1,Lock,1.0,0.0
9032,RoboWhales,148.0,0.0,185.18,1780.0,True,185.18,1.0,148.0,148.0,148.0,148.0,2.0,102.0,0.0,1.0,2,0,,0.0,2,Lock,1.0,0.0
9496,LYNK,145.0,0.0,224.33,1848.0,True,224.33,1.0,145.0,145.0,145.0,145.0,3.0,99.0,0.0,1.0,3,0,,0.0,3,Lock,1.0,0.0
4795,Eastbots,136.0,0.0,98.44,1639.0,True,98.44,1.0,136.0,136.0,136.0,136.0,4.0,90.0,0.0,1.0,4,0,,0.0,4,Lock,1.0,0.0
8429,Valence Robotics,132.0,0.0,71.64,1579.0,True,71.64,1.0,132.0,132.0,132.0,132.0,5.0,86.0,0.0,1.0,5,0,,0.0,5,Lock,1.0,0.0
4534,Wired Wizards,128.0,0.0,70.49,1577.0,True,70.49,1.0,128.0,128.0,128.0,128.0,6.0,82.0,0.0,1.0,6,0,,0.0,6,Lock,1.0,0.0
4561,TerrorBytes,127.0,0.0,76.83,1591.0,True,76.83,1.0,127.0,127.0,127.0,127.0,7.0,81.0,0.0,1.0,7,0,,0.0,7,Lock,1.0,0.0
2724,Avalanche Robotics,125.0,0.0,112.95,1660.0,True,112.95,1.0,125.0,125.0,125.0,125.0,8.0,79.0,0.0,1.0,8,0,,0.0,8,Lock,1.0,0.0
6500,GearCats,117.0,0.0,83.56,1606.0,True,83.56,1.0,117.0,117.0,117.0,117.0,9.0,71.0,0.0,1.0,9,0,,0.0,9,Lock,1.0,0.0
7890,SeQuEnCe,115.0,0.0,63.22,1560.0,True,63.22,1.0,115.0,115.0,115.0,115.0,10.0,69.0,0.0,1.0,10,0,,0.0,10,Lock,1.0,0.0
2059,The Hitchhikers,108.0,0.0,77.42,1592.0,True,77.42,1.0,108.0,108.0,108.0,108.0,11.0,62.0,0.0,1.0,11,0,,0.0,11,Lock,1.0,0.0
8727,Glitch 2.0,108.0,0.0,59.69,1552.0,True,59.69,1.0,108.0,108.0,108.0,108.0,12.0,62.0,0.0,1.0,12,0,,0.0,12,Lock,1.0,0.0
1533,Triple Strange,94.0,0.0,75.6,1588.0,True,75.6,1.0,94.0,94.0,94.0,94.0,13.0,48.0,0.0,1.0,13,0,,0.0,13,Lock,1.0,0.0
5160,Chargers,93.0,0.0,54.56,1540.0,True,54.56,1.0,93.0,93.0,93.0,93.0,14.0,47.0,0.0,1.0,14,0,,0.0,14,Lock,1.0,0.0
