team,team_name,remaining_events,expected_added_points,added_points_p10,added_points_p50,added_points_p90,qual_prob_if_low_total_added,qual_prob_if_mid_total_added,qual_prob_if_high_total_added
435,Robodogs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
587,The Hedgehogs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
900,The Zebracorns,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1225,The Gorillas,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
1533,Triple Strange,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2059,The Hitchhikers,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2640,HOTBOTZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2682,Boneyard Robotics 2682,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2724,Avalanche Robotics,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
3196,Team SPORK,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
3229,Hawktimus Prime,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
3336,Zimanators,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
3459,Team PyroTech,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
3506,YETI Robotics,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
3680,Elemental Dragons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3822,Neon Krakens,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3893,K-T Extinction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4534,Wired Wizards,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
4561,TerrorBytes,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
4795,Eastbots,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
4816,Gadget Girls,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4828,RoboEagles,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
4829,Titanium Tigers,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
4861,Beastbots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4935,T-Rex,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
5160,Chargers,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
5190,Falcon Fury,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5511,Cortechs Robotics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5518,Techno Wolves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5607,Team Firewall,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
5727,Omegabytes,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
5919,JoCo RoBos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6004,f(x) Robotics,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
6240,Eagles of the Knight,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6242,Chaos Theory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6500,GearCats,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
6502,DARC SIDE,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
6639,The Mechanical Minds,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
6729,RobCoBots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6888,Foothills Robotics,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
6894,Iced Java,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
6908,Infuzed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6932,SMART,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7443,Jag-Wires,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7763,Carrborobotics,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
7890,SeQuEnCe,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
7918,ReCuRsIoN,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
8205,Mind Over Metal,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
8429,Valence Robotics,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
8727,Glitch 2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
8738,Slice,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
8746,Knights,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
8757,GeodeBots,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
8758,Tar-Robo Turtles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9005,Avian Robotics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9032,RoboWhales,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
9042,SOARIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9150,Labyrinth Robotics,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
9198,The Beach Botz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9296,TITANium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9297,BOGOBOTS,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
9298,Greenies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9496,LYNK,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
