team,team_name,current_points,remaining_events,current_epa_mean,current_epa_norm,qualified_for_dcmp,current_epa,raw_prob,mean_final_points,p10_points,p50_points,p90_points,mean_rank,mean_margin_to_cutline,award_adjustment,calibrated_prob,points_only_rank,rank_delta_vs_points_only,top_swing_event_name,top_swing_event_qual_swing,probability_rank,tier,impact_worst_case_prob,impact_worst_case_delta
8575,The Due Westerners,143.0,0.0,81.63,1602.0,True,81.63,1.0,143.0,143.0,143.0,143.0,1.0,110.0,0.0,1.0,1,0,,0.0,1,Lock,1.0,0.0
4451,ROBOTZ Garage,135.0,0.0,86.22,1612.0,True,86.22,1.0,135.0,135.0,135.0,135.0,2.0,102.0,0.0,1.0,2,0,,0.0,2,Lock,1.0,0.0
1287,Aluminum Assault,129.0,0.0,73.41,1583.0,True,73.41,1.0,129.0,129.0,129.0,129.0,3.0,96.0,0.0,1.0,3,0,,0.0,3,Lock,1.0,0.0
343,Metal-In-Motion,99.0,0.0,55.71,1543.0,True,55.71,1.0,99.0,99.0,99.0,99.0,4.0,66.0,0.0,1.0,4,0,,0.0,4,Lock,1.0,0.0
6366,RAM Rodz Robotics,98.0,0.0,68.65,1573.0,True,68.65,1.0,98.0,98.0,98.0,98.0,5.0,65.0,0.0,1.0,5,0,,0.0,5,Lock,1.0,0.0
1758,Technomancers,95.0,0.0,51.52,1533.0,True,51.52,1.0,95.0,95.0,95.0,95.0,6.0,62.0,0.0,1.0,6,0,,0.0,6,Lock,1.0,0.0
342,Burning Magnetos,93.0,0.0,66.47,1568.0,True,66.47,1.0,93.0,93.0,93.0,93.0,7.0,60.0,0.0,1.0,7,0,,0.0,7,Lock,1.0,0.0
281,The GreenVillains,82.0,0.0,38.86,1502.0,True,38.86,1.0,82.0,82.0,82.0,82.0,8.0,49.0,0.0,1.0,8,0,,0.0,8,Lock,1.0,0.0
11424,Boa Constructors,80.0,0.0,31.68,1482.0,True,31.68,1.0,80.0,80.0,80.0,80.0,9.0,47.0,0.0,1.0,9,0,,0.0,9,Lock,1.0,0.0
10367,Category 4 Storm Surge,72.0,0.0,36.24,1495.0,True,36.24,1.0,72.0,72.0,72.0,72.0,11.0,39.0,0.0,1.0,11,1,,0.0,10,Lock,1.0,0.0
