team,team_name,remaining_events,expected_added_points,added_points_p10,added_points_p50,added_points_p90,qual_prob_if_low_total_added,qual_prob_if_mid_total_added,qual_prob_if_high_total_added
281,The GreenVillains,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
342,Burning Magnetos,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
343,Metal-In-Motion,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
1051,Technical Terminators,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
1102,M'Aiken Magic,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
1287,Aluminum Assault,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
1293,Pandamaniacs,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
1319,Flash,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
1648,G3 Robotics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1758,Technomancers,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2815,Blue Devil Mechanics,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
3489,Category 5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
3490,Viper Drive,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
3976,Electric Hornets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4083,The Legendary Iron Wolverines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4451,ROBOTZ Garage,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
4533,Phoenix,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
4864,Innovation Station,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
5484,Career Academy Robotics - Wolf Pack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6004,f(x) Robotics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6167,CB Bearbots,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
6366,RAM Rodz Robotics,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
6961,SIbots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7085,Wired Warriors,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
8116,Hatchet Robotics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8137,Byting Bulldogs,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
8430,The Hatch Batch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8575,The Due Westerners,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
9005,Avian Robotics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9315,Coding Comets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9477,Lambda (λ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9496,LYNK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10231,Midnight Circuits,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
10361,Gatorbots,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
10367,Category 4 Storm Surge,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
10388,The Iron Wolverine Angels,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
10591,No Cap,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
10599,RoboBlazers,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
10619,Rana's Rivets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11167,Team Titan,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
11254,FIRST Ignition,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
11308,Daniel Morgan Patriots,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
11311,The Stags,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11368,SCTC ZettaBots,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
11398,Shark Bytes,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
11424,Boa Constructors,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
11467,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11475,DawgBots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
