team,team_name,current_points,remaining_events,current_epa_mean,current_epa_norm,qualified_for_dcmp,current_epa,raw_prob,mean_final_points,p10_points,p50_points,p90_points,mean_rank,mean_margin_to_cutline,award_adjustment,calibrated_prob,points_only_rank,rank_delta_vs_points_only,top_swing_event_name,top_swing_event_qual_swing,probability_rank,tier,impact_worst_case_prob,impact_worst_case_delta
1690,Orbit,0.0,0.0,130.09,1684.0,False,130.09,1.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,1.0,1,0,,0.0,1,Lock,1.0,0.0
2231,OnyxTronix,0.0,0.0,92.21,1626.0,False,92.21,1.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,1.0,2,0,,0.0,2,Lock,1.0,0.0
3339,BumbleB,0.0,0.0,87.84,1616.0,False,87.84,1.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,1.0,4,1,,0.0,3,Lock,1.0,0.0
2630,Thunderbolts,0.0,0.0,86.81,1614.0,False,86.81,1.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,1.0,5,1,,0.0,4,Lock,1.0,0.0
2230,General Angels,0.0,0.0,80.55,1600.0,False,80.55,1.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,1.0,8,3,,0.0,5,Lock,1.0,0.0
1577,Steampunk,0.0,0.0,69.01,1573.0,False,69.01,1.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,1.0,10,4,,0.0,6,Lock,1.0,0.0
1942,Cinderella Tel-Nof,0.0,0.0,68.42,1572.0,False,68.42,1.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,1.0,11,4,,0.0,7,Lock,1.0,0.0
1574,MisCar,0.0,0.0,65.67,1566.0,False,65.67,1.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,1.0,12,4,,0.0,8,Lock,1.0,0.0
4590,GreenBlitz,0.0,0.0,61.42,1556.0,False,61.42,1.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,1.0,14,5,,0.0,9,Lock,1.0,0.0
3075,Ha-Dream Team,0.0,0.0,61.15,1555.0,False,61.15,1.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,1.0,15,5,,0.0,10,Lock,1.0,0.0
2096,RoboActive,0.0,0.0,56.6,1545.0,False,56.6,1.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,1.0,16,5,,0.0,11,Lock,1.0,0.0
4744,Ninjas,0.0,0.0,56.58,1545.0,False,56.58,1.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,1.0,17,5,,0.0,12,Lock,1.0,0.0
4320,The Joker,0.0,0.0,55.03,1541.0,False,55.03,1.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,1.0,20,7,,0.0,13,Lock,1.0,0.0
