team,team_name,remaining_events,expected_added_points,added_points_p10,added_points_p50,added_points_p90,qual_prob_if_low_total_added,qual_prob_if_mid_total_added,qual_prob_if_high_total_added
1574,MisCar,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
1576,Voltrix,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
1577,Steampunk,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
1580,The Blue Monkeys,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
1690,Orbit,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
1937,Elysium,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
1942,Cinderella Tel-Nof,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
1943,Neat Team,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
1954,ElectroBunny,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2096,RoboActive,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2212,The Spikes,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2230,General Angels,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2231,OnyxTronix,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2630,Thunderbolts,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2679,Atlantis,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
3065,Jatt High School,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
3075,Ha-Dream Team,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
3083,Artemis,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
3211,The Y Team,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
3316,D-Bug,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
3339,BumbleB,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
3388,Flash in memory of Margarita Gusak,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
3835,Vulcan,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
4319,Ladies FIRST,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
4320,The Joker,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
4338,Falcons,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
4416,Skynet,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
4586,PRIMO,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
4590,GreenBlitz,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
4661,Cypher,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
4744,Ninjas,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
5135,Black Unicorns,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5291,Emperius,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5554,The Poros Robotics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5614,Team Sycamore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5635,Demacia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5654,Phoenix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5715,DRC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5928,MetalBoost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5951,Makers Assemble,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5987,Galaxia in memory of David Zohar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5990,TRIGON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6104,Desert Eagles in memory of Yehonatan Maimon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6168,alzahrawi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6230,Team Koi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6738,Excalibur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6740,G3 - Glue Gun & Glitter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7039,❌⭕,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
