team,team_name,current_points,remaining_events,current_epa_mean,current_epa_norm,qualified_for_dcmp,current_epa,raw_prob,mean_final_points,p10_points,p50_points,p90_points,mean_rank,mean_margin_to_cutline,award_adjustment,calibrated_prob,points_only_rank,rank_delta_vs_points_only,top_swing_event_name,top_swing_event_qual_swing,probability_rank,tier,impact_worst_case_prob,impact_worst_case_delta
6328,Mechanical Advantage,149.0,0.0,251.46,1896.0,True,251.46,1.0,149.0,149.0,149.0,149.0,1.0722,99.5844,0.0,1.0,1,0,,,1,Lock,1.0,0.0
3467,Windham Windup,146.0,0.0,223.33,1847.0,False,223.33,1.0,146.0,146.0,146.0,146.0,2.1418,96.5844,0.0,1.0,2,0,,,2,Lock,1.0,0.0
5687,The Outliers,145.0,0.0,236.17,1869.0,False,236.17,1.0,145.0,145.0,145.0,145.0,4.173133333333333,95.5844,0.0,1.0,3,0,,,3,Lock,1.0,0.0
176,Aces High,145.0,0.0,205.85,1816.0,False,205.85,1.0,145.0,145.0,145.0,145.0,3.1731333333333334,95.5844,0.0,1.0,4,0,,,4,Lock,1.0,0.0
6329,The Bucks' Wrath,71.0,1.0,168.18,1750.0,False,168.18,1.0,137.78013333333334,130.0,137.0,147.0,6.569533333333333,88.36453333333333,0.0,1.0,34,29,NE District UVM Event,0.0,5,Lock,1.0,0.0
125,NUTRONs,136.0,0.0,239.25,1874.0,False,239.25,1.0,136.0,136.0,136.0,136.0,5.834666666666666,86.5844,0.0,1.0,5,-1,,,6,Lock,1.0,0.0
190,Gompei and the HERD,136.0,0.0,171.72,1756.0,True,171.72,1.0,136.0,136.0,136.0,136.0,6.834666666666666,86.5844,0.0,1.0,6,-1,,,7,Lock,1.0,0.0
238,Crusaders,133.0,0.0,173.09,1759.0,False,173.09,1.0,133.0,133.0,133.0,133.0,8.235,83.5844,0.0,1.0,7,-1,,,8,Lock,1.0,0.0
195,CyberKnights,70.0,1.0,146.37,1712.0,False,146.37,1.0,132.46093333333334,125.0,132.0,141.0,9.562866666666666,83.04533333333333,0.0,1.0,36,27,NE District UVM Event,0.0,9,Lock,1.0,0.0
1768,Nashoba Robotics,132.0,0.0,205.24,1815.0,False,205.24,1.0,132.0,132.0,132.0,132.0,9.384,82.5844,0.0,1.0,8,-2,,,10,Lock,1.0,0.0
2067,Apple Pi,132.0,0.0,172.51,1758.0,False,172.51,1.0,132.0,132.0,132.0,132.0,10.384,82.5844,0.0,1.0,9,-2,,,11,Lock,1.0,0.0
4909,Bionics,132.0,0.0,129.43,1682.0,False,129.43,1.0,132.0,132.0,132.0,132.0,11.384,82.5844,0.0,1.0,10,-2,,,12,Lock,1.0,0.0
2370,IBOTS,61.0,1.0,122.82,1673.0,False,122.82,1.0,119.46266666666666,111.0,119.0,128.0,14.498333333333333,70.04706666666667,0.0,1.0,53,40,NE District WPI Event,0.0,13,Lock,1.0,0.0
95,Grasshoppers,61.0,1.0,122.56,1673.0,False,122.56,1.0,118.0444,110.0,117.0,127.0,15.178066666666666,68.6288,0.0,1.0,54,40,NE District UVM Event,0.0,14,Lock,1.0,0.0
7407,Wired Boars,118.0,0.0,167.31,1749.0,False,167.31,1.0,118.0,118.0,118.0,118.0,14.3874,68.5844,0.0,1.0,11,-4,,,15,Lock,1.0,0.0
5000,HAMMERHEADS,53.0,1.0,132.42,1688.0,False,132.42,1.0,115.29953333333333,107.0,115.0,124.0,16.608933333333333,65.88393333333333,0.0,1.0,77,61,NE District WPI Event,0.0,16,Lock,1.0,0.0
2877,LigerBots,112.0,0.0,161.34,1738.0,True,161.34,1.0,112.0,112.0,112.0,112.0,16.831666666666667,62.5844,0.0,1.0,12,-5,,,17,Lock,1.0,0.0
6324,The Blue Devils,111.0,0.0,151.57,1721.0,False,151.57,1.0,111.0,111.0,111.0,111.0,18.056266666666666,61.5844,0.0,1.0,13,-5,,,18,Lock,1.0,0.0
1058,PVC Pirates,110.0,0.0,138.46,1698.0,False,138.46,1.0,110.0,110.0,110.0,110.0,19.272133333333333,60.5844,0.0,1.0,14,-5,,,19,Lock,1.0,0.0
10254,Regal Seagulls,56.0,1.0,109.46,1655.0,False,109.46,1.0,109.1274,101.0,109.0,118.0,20.241066666666665,59.7118,0.0,1.0,65,45,NE District WPI Event,0.0,20,Lock,1.0,0.0
5813,Morpheus,109.0,0.0,163.3,1741.0,False,163.3,1.0,109.0,109.0,109.0,109.0,20.491133333333334,59.5844,0.0,1.0,15,-6,,,21,Lock,1.0,0.0
1073,The Force Team,58.0,1.0,114.51,1662.0,False,114.51,1.0,107.2066,99.0,107.0,116.0,21.408133333333332,57.791,0.0,1.0,57,35,NE District UVM Event,0.0,22,Lock,1.0,0.0
8046,LakerBots,104.0,0.0,131.66,1686.0,True,131.66,1.0,104.0,104.0,104.0,104.0,23.5168,54.5844,0.0,1.0,16,-7,,,23,Lock,1.0,0.0
