team,team_name,remaining_events,expected_added_points,added_points_p10,added_points_p50,added_points_p90,qual_prob_if_low_total_added,qual_prob_if_mid_total_added,qual_prob_if_high_total_added
58,The Riot Crew,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
61,BVT Robotics,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
69,HYPER,0.0,0.0,0.0,0.0,0.0,0.9783333333333334,0.9783333333333334,0.9783333333333334
78,AIR STRIKE,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
88,TJ²,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
95,Grasshoppers,1.0,57.0444,49.0,56.0,66.0,1.0,1.0,1.0
97,Bionic Beef,1.0,8.0844,0.0,7.0,17.0,0.0,0.0,0.0005330490405117271
125,NUTRONs,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
126,Gael Force,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,CHAOS,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
133,B.E.R.T.,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
138,Entropy,1.0,21.684266666666666,14.0,21.0,31.0,0.0,0.0,0.3498125585754452
151,Tough Techs,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
155,The TechnoNuts,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
157,AZTECHS,1.0,24.643133333333335,16.0,24.0,33.0,0.0890092879256966,0.9654308617234469,1.0
166,Chop Shop,1.0,44.5622,36.0,44.0,53.0,1.0,1.0,1.0
172,Northern Force,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
173,RAGE Robotics ⚙️,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
175,Buzz Robotics,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
176,Aces High,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
177,Bobcat Robotics,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
178,The 2nd Law Enforcers,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
181,Birds Of Prey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,Gompei and the HERD,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
195,CyberKnights,1.0,62.46093333333334,55.0,62.0,71.0,1.0,1.0,1.0
228,GUS,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
230,Gaelhawks,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
236,Techno-Ticks,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
237,Black Magic Robotics,1.0,29.353533333333335,21.0,29.0,38.0,0.20058210041232113,0.9550890895777399,1.0
238,Crusaders,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
246,Lobstah Bots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
319,Big Bad Bob,1.0,31.528866666666666,23.0,31.0,40.0,0.9089325702911172,1.0,1.0
348,Norwell Robotics,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
429,Two Many Bobcats,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
433,Firebirds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
467,Center of Mass,1.0,34.312866666666665,26.0,34.0,43.0,0.9470731707317073,1.0,1.0
501,The PowerKnights,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
509,Red Storm,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
558,Elm City Robo Squad,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
571,Paragon Robotics,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
663,Power Sharks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
716,Who'sCTEKS,1.0,8.1598,0.0,7.0,17.0,0.0,0.0,0.0
811,Wild Cards,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
839,Rosie Robotics,1.0,30.4874,22.0,30.0,39.100000000000364,0.9494201825808043,1.0,1.0
999,MechaRAMS,1.0,14.356133333333334,6.0,14.0,23.0,0.0,0.0,0.3383729301655867
1027,Mechatronic Maniacs,1.0,6.722733333333333,0.0,6.0,15.0,0.0,0.0,0.0
1058,PVC Pirates,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
1071,Team MAX,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
1073,The Force Team,1.0,49.2066,41.0,49.0,58.0,1.0,1.0,1.0
1099,DiscoTechs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1100,Inverse Polarity,1.0,29.5228,21.0,29.0,38.0,0.9723548630309123,1.0,1.0
1119,Pup Cups,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
1153,Timberwolves,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
1247,"Blood, Sweat, and Gears",1.0,7.4337333333333335,0.0,6.0,16.0,0.0,0.0,0.0
1277,The Robotomies,0.0,0.0,0.0,0.0,0.0,0.05686666666666667,0.05686666666666667,0.05686666666666667
1307,Robosaints,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
1350,The Rambots,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
1474,Titans,1.0,14.1884,6.0,14.0,23.0,0.0,0.0,0.0007518796992481203
1512,The Big Red,1.0,21.722333333333335,14.0,21.0,31.0,0.6971061093247588,1.0,1.0
1699,Robocats,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
1721,Tidal Force,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729,Team Inconceivable!,1.0,28.7252,20.0,28.0,38.0,0.6454380036391993,1.0,1.0
1735,Green Reapers,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
1740,Cyber Colonels,1.0,20.769733333333335,13.0,20.0,30.0,0.0,0.0,0.06476105404198303
1757,Wolverines,1.0,20.014466666666667,12.0,19.0,29.0,0.0,0.0,0.41185527328714394
1761,STEAMpunk Tigers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1768,Nashoba Robotics,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
1922,Oz-Ram,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
1991,The Dragons,0.0,0.0,0.0,0.0,0.0,0.00046666666666666666,0.00046666666666666666,0.00046666666666666666
2064,The Panther Project,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2067,Apple Pi,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2079,4H ALARM Robotics,1.0,25.251266666666666,17.0,25.0,34.0,1.0,1.0,1.0
2084,Robots by the C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2168,Aluminum Falcons,1.0,16.3784,8.0,16.0,25.0,0.0,0.0,0.03647342995169082
2170,Galvanized Guardians,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2262,Robo-Panthers,1.0,13.690866666666667,5.0,13.0,23.0,0.0,0.0,0.005994927369149181
2342,Team Phoenix,1.0,22.233,14.0,22.0,31.0,0.0,0.0,0.3256667482260827
2370,IBOTS,1.0,58.462666666666664,50.0,58.0,67.0,1.0,1.0,1.0
2423,The KwarQs,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2523,Tech Storm,1.0,16.062866666666668,8.0,16.0,25.0,0.0,0.0,0.025128205128205128
2648,Infinite Loop,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2712,Power Surge 4-H Robotics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2713,Red Hawk Robotics,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2785,Prometheus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2876,DevilBotz,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2877,LigerBots,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
3146,GRANBY GRUNTS,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
3182,Athena's Warriors,0.0,0.0,0.0,0.0,0.0,0.010666666666666666,0.010666666666666666,0.010666666666666666
3205,Patriots,1.0,7.022866666666666,0.0,6.0,15.0,0.0,0.0,0.0
3323,Potential Energy,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
3461,Operation PEACCE Robotics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3464,Sim-City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3467,Windham Windup,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
3566,Gone Fishin',0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
3597,Robo-Rangers,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
3623,The Robomingos,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
3634,Bridgeport Spark City,1.0,7.894266666666667,0.0,7.0,17.0,0.0,0.0,0.0
