team,team_name,current_points,remaining_events,current_epa_mean,current_epa_norm,qualified_for_dcmp,current_epa,raw_prob,mean_final_points,p10_points,p50_points,p90_points,mean_rank,mean_margin_to_cutline,award_adjustment,calibrated_prob,points_only_rank,rank_delta_vs_points_only,top_swing_event_name,top_swing_event_qual_swing,probability_rank,tier,impact_worst_case_prob,impact_worst_case_delta
4946,The Alpha Dogs,149.0,0.0,251.73,1896.0,False,251.73,1.0,149.0,149.0,149.0,149.0,1.2304666666666666,124.36513333333333,0.0,1.0,1,0,,,1,Lock,1.0,0.0
2056,OP Robotics,73.0,1.0,280.61,1947.0,False,280.61,1.0,142.4318,135.0,142.0,152.0,3.0929333333333333,117.79693333333333,0.0,1.0,18,16,ONT District Niagara College Event,0.0,2,Lock,1.0,0.0
7558,ALT-F4,141.0,0.0,202.74,1811.0,False,202.74,1.0,141.0,141.0,141.0,141.0,3.1306,116.36513333333333,0.0,1.0,2,-1,,,3,Lock,1.0,0.0
1114,Simbotics,72.0,1.0,215.55,1833.0,False,215.55,1.0,139.39913333333334,131.0,139.0,148.0,4.057733333333333,114.76426666666667,0.0,1.0,21,17,ONT District Niagara College Event,0.0,4,Lock,1.0,0.0
9785,Alectrona,137.0,0.0,137.74,1697.0,False,137.74,1.0,137.0,137.0,137.0,137.0,4.872733333333334,112.36513333333333,0.0,1.0,3,-2,,,5,Lock,1.0,0.0
4678,CyberCavs,65.0,1.0,204.36,1813.0,False,204.36,1.0,135.96046666666666,128.0,136.0,145.0,5.063,111.3256,0.0,1.0,29,23,ONT District Windsor Essex Great Lake Event,0.0,6,Lock,1.0,0.0
4476,W.A.F.F.L.E.S.,66.0,1.0,180.7,1772.0,True,180.7,1.0,125.544,118.0,125.0,134.0,8.046533333333333,100.90913333333333,0.0,1.0,28,21,ONT District Niagara College Event,0.0,7,Lock,1.0,0.0
188,Blizzard,123.0,0.0,142.26,1705.0,False,142.26,1.0,123.0,123.0,123.0,123.0,7.852733333333333,98.36513333333333,0.0,1.0,4,-4,,,8,Lock,1.0,0.0
610,Crescent Coyotes,121.0,0.0,165.63,1746.0,False,165.63,1.0,121.0,121.0,121.0,121.0,9.119266666666666,96.36513333333333,0.0,1.0,5,-4,,,9,Lock,1.0,0.0
1241,THEORY6,73.0,1.0,137.1,1696.0,False,137.1,1.0,119.0788,111.0,118.0,128.0,10.6648,94.44393333333333,0.0,1.0,19,9,ONT District Niagara College Event,0.0,10,Lock,1.0,0.0
1325,Inverse Paradox,119.0,0.0,178.08,1767.0,True,178.08,1.0,119.0,119.0,119.0,119.0,11.379066666666667,94.36513333333333,0.0,1.0,6,-5,,,11,Lock,1.0,0.0
2200,BCR Blackout,119.0,0.0,175.18,1762.0,False,175.18,1.0,119.0,119.0,119.0,119.0,10.379066666666667,94.36513333333333,0.0,1.0,7,-5,,,12,Lock,1.0,0.0
10015,Bubbles,113.0,0.0,136.62,1695.0,False,136.62,1.0,113.0,113.0,113.0,113.0,13.133266666666668,88.36513333333333,0.0,1.0,8,-5,,,13,Lock,1.0,0.0
5406,Celt-X,53.0,1.0,143.01,1706.0,False,143.01,1.0,110.89453333333333,103.0,110.0,120.0,13.4868,86.25966666666666,0.0,1.0,36,22,ONT District Windsor Essex Great Lake Event,0.0,14,Lock,1.0,0.0
11270,Nova,105.0,0.0,134.2,1691.0,False,134.2,1.0,105.0,105.0,105.0,105.0,15.015866666666666,80.36513333333333,0.0,1.0,9,-6,,,15,Lock,1.0,0.0
5885,Villanova WiredCats,57.0,1.0,109.19,1655.0,False,109.19,1.0,99.93313333333333,92.0,99.0,109.0,16.379066666666667,75.29826666666666,0.0,1.0,32,16,ONT District Windsor Essex Great Lake Event,0.0,16,Lock,1.0,0.0
7520,Team MineKee,94.0,0.0,166.27,1747.0,False,166.27,1.0,94.0,94.0,94.0,94.0,17.215066666666665,69.36513333333333,0.0,1.0,10,-7,,,17,Lock,1.0,0.0
4069,Lo-Ellen Robotics,93.0,0.0,124.46,1676.0,False,124.46,1.0,93.0,93.0,93.0,93.0,18.372866666666667,68.36513333333333,0.0,1.0,11,-7,,,18,Lock,1.0,0.0
8884,Knight Owls,91.0,0.0,129.44,1682.0,False,129.44,1.0,91.0,91.0,91.0,91.0,19.638933333333334,66.36513333333333,0.0,1.0,12,-7,,,19,Lock,1.0,0.0
3683,Team DAVE,48.0,1.0,136.55,1695.0,False,136.55,1.0,89.89826666666667,82.0,89.0,99.0,21.1702,65.2634,0.0,1.0,43,23,ONT District Niagara College Event,0.0,20,Lock,1.0,0.0
