team,team_name,current_points,remaining_events,current_epa_mean,current_epa_norm,qualified_for_dcmp,current_epa,raw_prob,mean_final_points,p10_points,p50_points,p90_points,mean_rank,mean_margin_to_cutline,award_adjustment,calibrated_prob,points_only_rank,rank_delta_vs_points_only,top_swing_event_name,top_swing_event_qual_swing,probability_rank,tier,impact_worst_case_prob,impact_worst_case_delta
1833,Team BEAN,76.0,1.0,196.85,1800.0,False,196.85,1.0,148.00566666666666,141.0,148.0,156.0,1.8808666666666667,102.07493333333333,0.0,1.0,13,12,PCH District Gainesville Event presented by Honeywell,0.0,1,Lock,1.0,0.0
6919,The Commodores,147.0,0.0,115.2,1663.0,True,115.2,1.0,147.0,147.0,147.0,147.0,1.5437333333333334,101.06926666666666,0.0,1.0,1,-1,,,2,Lock,1.0,0.0
1002,CircuitRunners Robotics,143.0,0.0,148.98,1716.0,False,148.98,1.0,143.0,143.0,143.0,143.0,2.795733333333333,97.06926666666666,0.0,1.0,2,-1,,,3,Lock,1.0,0.0
4188,Columbus Space Program,143.0,0.0,110.9,1657.0,True,110.9,1.0,143.0,143.0,143.0,143.0,3.795733333333333,97.06926666666666,0.0,1.0,3,-1,,,4,Lock,1.0,0.0
2974,Walton Robotics,133.0,0.0,149.52,1717.0,False,149.52,1.0,133.0,133.0,133.0,133.0,4.990933333333333,87.06926666666666,0.0,1.0,4,-1,,,5,Lock,1.0,0.0
1771,North Gwinnett Robotics,132.0,0.0,152.56,1723.0,False,152.56,1.0,132.0,132.0,132.0,132.0,6.009533333333334,86.06926666666666,0.0,1.0,5,-1,,,6,Lock,1.0,0.0
1683,Techno Titans,53.0,1.0,67.18,1569.0,False,67.18,1.0,114.6084,107.0,114.0,124.0,7.379066666666667,68.67766666666667,0.0,1.0,26,19,PCH District Gainesville Event presented by Honeywell,0.0,7,Lock,1.0,0.0
6829,Ignite Robotics,111.0,0.0,97.36,1637.0,False,97.36,1.0,111.0,111.0,111.0,111.0,7.748666666666667,65.06926666666666,0.0,1.0,6,-2,,,8,Lock,1.0,0.0
4189,Chargers,50.0,1.0,51.48,1533.0,False,51.48,1.0,100.43573333333333,92.0,100.0,109.0,8.995733333333334,54.505,0.0,1.0,31,22,PCH District Gainesville Event presented by Honeywell,0.0,9,Lock,1.0,0.0
1261,Robo Lions Team1261,91.0,0.0,81.73,1602.0,False,81.73,1.0,91.0,91.0,91.0,91.0,9.99,45.069266666666664,0.0,1.0,7,-3,,,10,Lock,1.0,0.0
4026,Decatur Robotics,88.0,0.0,83.51,1606.0,False,83.51,1.0,88.0,88.0,88.0,88.0,11.072,42.069266666666664,0.0,1.0,8,-3,,,11,Lock,1.0,0.0
1648,G3 Robotics,86.0,0.0,67.74,1571.0,False,67.74,1.0,86.0,86.0,86.0,86.0,12.1432,40.069266666666664,0.0,1.0,9,-3,,,12,Lock,1.0,0.0
832,OSCAR,85.0,0.0,40.57,1506.0,False,40.57,1.0,85.0,85.0,85.0,85.0,13.1832,39.069266666666664,0.0,1.0,10,-3,,,13,Lock,1.0,0.0
5900,The Fighting Mongooses,81.0,0.0,27.69,1469.0,False,27.69,1.0,81.0,81.0,81.0,81.0,14.408333333333333,35.069266666666664,0.0,1.0,11,-3,,,14,Lock,1.0,0.0
7451,AvengerRobotics,80.0,0.0,38.14,1500.0,True,38.14,1.0,80.0,80.0,80.0,80.0,15.5282,34.069266666666664,0.0,1.0,12,-3,,,15,Lock,1.0,0.0
6772,The Marist Manta Rays,76.0,0.0,52.28,1535.0,False,52.28,1.0,76.0,76.0,76.0,76.0,17.090933333333332,30.069266666666667,0.0,1.0,14,-2,,,16,Lock,1.0,0.0
5109,Gladiator Robotics,75.0,0.0,58.16,1549.0,False,58.16,1.0,75.0,75.0,75.0,75.0,18.3052,29.069266666666667,0.0,1.0,15,-2,,,17,Lock,1.0,0.0
4509,Mechanical Bulls,46.0,1.0,26.34,1465.0,True,26.34,1.0,73.08713333333333,65.0,73.0,82.0,20.019333333333332,27.1564,0.0,1.0,34,16,PCH District Gainesville Event presented by Honeywell,0.0,18,Lock,1.0,0.0
11174,Danes Robotics,48.0,1.0,14.62,1417.0,False,14.62,1.0,72.54233333333333,64.0,72.0,81.0,20.045,26.6116,0.0,1.0,33,14,PCH District Gainesville Event presented by Honeywell,0.0,19,Lock,1.0,0.0
6340,The Marist Manatees,34.0,1.0,40.93,1507.0,False,40.93,1.0,71.52426666666666,63.0,71.0,81.0,21.4076,25.593533333333333,0.0,1.0,43,23,PCH District Gainesville Event presented by Honeywell,0.0,20,Lock,1.0,0.0
9477,Lambda (λ),71.0,0.0,43.18,1513.0,False,43.18,1.0,71.0,71.0,71.0,71.0,20.6328,25.069266666666667,0.0,1.0,16,-5,,,21,Lock,1.0,0.0
8866,Innovation Robotics,67.0,0.0,55.12,1541.0,False,55.12,1.0,67.0,67.0,67.0,67.0,22.995666666666665,21.069266666666667,0.0,1.0,17,-5,,,22,Lock,1.0,0.0
6905,Raiders of the ARC- TEAR-A-BYTE,66.0,0.0,29.05,1474.0,False,29.05,1.0,66.0,66.0,66.0,66.0,24.2944,20.069266666666667,0.0,1.0,18,-5,,,23,Lock,1.0,0.0
8736,The Mechanisms,66.0,0.0,25.92,1463.0,False,25.92,1.0,66.0,66.0,66.0,66.0,25.363933333333332,20.069266666666667,0.0,1.0,19,-5,,,24,Lock,1.0,0.0
6925,W.A.Robotics,64.0,0.0,54.92,1541.0,False,54.92,1.0,64.0,64.0,64.0,64.0,28.1046,18.069266666666667,0.0,1.0,20,-5,,,25,Lock,1.0,0.0
3329,Wildbots,64.0,0.0,41.66,1509.0,False,41.66,1.0,64.0,64.0,64.0,64.0,27.023866666666667,18.069266666666667,0.0,1.0,21,-5,,,26,Lock,1.0,0.0
6887,Dalton Catabots,63.0,0.0,26.85,1467.0,False,26.85,1.0,63.0,63.0,63.0,63.0,30.3938,17.069266666666667,0.0,1.0,22,-5,,,27,Lock,1.0,0.0
11214,[CY]BEARCATS robotics,63.0,0.0,12.62,1407.0,False,12.62,1.0,63.0,63.0,63.0,63.0,29.32346666666667,17.069266666666667,0.0,1.0,23,-5,,,28,Lock,1.0,0.0
5608,Lassiter Robotics,60.0,0.0,17.67,1431.0,False,17.67,1.0,60.0,60.0,60.0,60.0,32.358,14.069266666666667,0.0,1.0,24,-5,,,29,Lock,1.0,0.0
3091,100 Scholars,56.0,0.0,24.21,1457.0,False,24.21,1.0,56.0,56.0,56.0,56.0,34.935,10.069266666666667,0.0,1.0,25,-5,,,30,Lock,1.0,0.0
6023,DISCBOTS,53.0,0.0,31.72,1482.0,False,31.72,1.0,53.0,53.0,53.0,53.0,37.096333333333334,7.069266666666667,0.0,1.0,27,-4,,,31,Lock,1.0,0.0
9480,The Gear Bears,52.0,0.0,35.53,1493.0,False,35.53,1.0,52.0,52.0,52.0,52.0,38.4834,6.069266666666667,0.0,1.0,28,-4,,,32,Lock,1.0,0.0
3635,Flying Legion,51.0,0.0,55.7,1543.0,False,55.7,1.0,51.0,51.0,51.0,51.0,39.8574,5.069266666666667,0.0,1.0,29,-4,,,33,Lock,0.9995333333333334,-0.00046666666666661527
