team,team_name,current_points,remaining_events,current_epa_mean,current_epa_norm,qualified_for_dcmp,current_epa,raw_prob,mean_final_points,p10_points,p50_points,p90_points,mean_rank,mean_margin_to_cutline,award_adjustment,calibrated_prob,points_only_rank,rank_delta_vs_points_only,top_swing_event_name,top_swing_event_qual_swing,probability_rank,tier,impact_worst_case_prob,impact_worst_case_delta
5468,Chaos Theory,146.0,0.0,179.11,1769.0,True,179.11,1.0,146.0,146.0,146.0,146.0,1.0,106.0,0.0,1.0,1,0,,0.0,1,Lock,1.0,0.0
1540,Flaming Chickens,145.0,0.0,163.05,1741.0,True,163.05,1.0,145.0,145.0,145.0,145.0,2.0,105.0,0.0,1.0,2,0,,0.0,2,Lock,1.0,0.0
6696,Cardinal Dynamics,138.0,0.0,138.58,1698.0,True,138.58,1.0,138.0,138.0,138.0,138.0,3.0,98.0,0.0,1.0,3,0,,0.0,3,Lock,1.0,0.0
2046,Bear Metal,136.0,0.0,150.04,1718.0,True,150.04,1.0,136.0,136.0,136.0,136.0,4.0,96.0,0.0,1.0,4,0,,0.0,4,Lock,1.0,0.0
4089,Stealth Robotics,132.0,0.0,171.57,1756.0,True,171.57,1.0,132.0,132.0,132.0,132.0,5.0,92.0,0.0,1.0,5,0,,0.0,5,Lock,1.0,0.0
2412,Robototes,132.0,0.0,108.59,1654.0,True,108.59,1.0,132.0,132.0,132.0,132.0,6.0,92.0,0.0,1.0,6,0,,0.0,6,Lock,1.0,0.0
9023,Future Martians,124.0,0.0,163.62,1742.0,True,163.62,1.0,124.0,124.0,124.0,124.0,7.0,84.0,0.0,1.0,7,0,,0.0,7,Lock,1.0,0.0
5937,MI Robotics,121.0,0.0,100.23,1642.0,True,100.23,1.0,121.0,121.0,121.0,121.0,8.0,81.0,0.0,1.0,8,0,,0.0,8,Lock,1.0,0.0
1425,Error Code Xero,117.0,0.0,157.54,1731.0,True,157.54,1.0,117.0,117.0,117.0,117.0,9.0,77.0,0.0,1.0,9,0,,0.0,9,Lock,1.0,0.0
492,Titan Robotics Club,115.0,0.0,93.23,1628.0,True,93.23,1.0,115.0,115.0,115.0,115.0,10.0,75.0,0.0,1.0,10,0,,0.0,10,Lock,1.0,0.0
360,The Revolution,114.0,0.0,163.21,1741.0,True,163.21,1.0,114.0,114.0,114.0,114.0,13.0,74.0,0.0,1.0,11,0,,0.0,11,Lock,1.0,0.0
948,NRG (Newport Robotics Group),114.0,0.0,149.3,1717.0,True,149.3,1.0,114.0,114.0,114.0,114.0,12.0,74.0,0.0,1.0,12,0,,0.0,12,Lock,1.0,0.0
4915,Spartronics,114.0,0.0,113.26,1660.0,True,113.26,1.0,114.0,114.0,114.0,114.0,11.0,74.0,0.0,1.0,13,0,,0.0,13,Lock,1.0,0.0
2522,Royal Robotics,110.0,0.0,95.06,1632.0,True,95.06,1.0,110.0,110.0,110.0,110.0,14.0,70.0,0.0,1.0,14,0,,0.0,14,Lock,1.0,0.0
955,Ctrl C,109.0,0.0,156.25,1729.0,True,156.25,1.0,109.0,109.0,109.0,109.0,15.0,69.0,0.0,1.0,15,0,,0.0,15,Lock,1.0,0.0
9450,Velocity Raptors,107.0,0.0,108.69,1654.0,True,108.69,1.0,107.0,107.0,107.0,107.0,16.0,67.0,0.0,1.0,16,0,,0.0,16,Lock,1.0,0.0
2471,Team Mean Machine,103.0,0.0,131.86,1687.0,True,131.86,1.0,103.0,103.0,103.0,103.0,17.0,63.0,0.0,1.0,17,0,,0.0,17,Lock,1.0,0.0
10079,Arrowdynamics,94.0,0.0,117.52,1666.0,True,117.52,1.0,94.0,94.0,94.0,94.0,19.0,54.0,0.0,1.0,18,0,,0.0,18,Lock,1.0,0.0
2910,Jack in the Bot,94.0,0.0,98.88,1639.0,True,98.88,1.0,94.0,94.0,94.0,94.0,18.0,54.0,0.0,1.0,19,0,,0.0,19,Lock,1.0,0.0
4469,R.A.I.D. (Raider Artificial Intelligence Division),90.0,0.0,146.66,1712.0,True,146.66,1.0,90.0,90.0,90.0,90.0,20.0,50.0,0.0,1.0,20,0,,0.0,20,Lock,1.0,0.0
3218,Panther Robotics,88.0,0.0,105.89,1650.0,True,105.89,1.0,88.0,88.0,88.0,88.0,21.0,48.0,0.0,1.0,21,0,,0.0,21,Lock,1.0,0.0
3674,CloverBots,86.0,0.0,114.32,1662.0,True,114.32,1.0,86.0,86.0,86.0,86.0,23.0,46.0,0.0,1.0,22,0,,0.0,22,Lock,1.0,0.0
2811,StormBots,86.0,0.0,63.37,1561.0,True,63.37,1.0,86.0,86.0,86.0,86.0,22.0,46.0,0.0,1.0,23,0,,0.0,23,Lock,1.0,0.0
1318,Issaquah Robotics Society,81.0,0.0,85.41,1611.0,True,85.41,1.0,81.0,81.0,81.0,81.0,24.0,41.0,0.0,1.0,24,0,,0.0,24,Lock,1.0,0.0
3663,CPR - Cedar Park Robotics,79.0,0.0,102.54,1645.0,True,102.54,1.0,79.0,79.0,79.0,79.0,26.0,39.0,0.0,1.0,25,0,,0.0,25,Lock,1.0,0.0
1294,Pack of Parts,79.0,0.0,13.66,1413.0,True,13.66,1.0,79.0,79.0,79.0,79.0,25.0,39.0,0.0,1.0,26,0,,0.0,26,Lock,1.0,0.0
753,High Desert Droids,77.0,0.0,85.88,1612.0,True,85.88,1.0,77.0,77.0,77.0,77.0,27.0,37.0,0.0,1.0,27,0,,0.0,27,Lock,1.0,0.0
4450,Olympia Robotics Federation,72.0,0.0,93.49,1629.0,True,93.49,1.0,72.0,72.0,72.0,72.0,28.0,32.0,0.0,1.0,28,0,,0.0,28,Lock,1.0,0.0
4488,Shockwave,71.0,0.0,113.62,1661.0,True,113.62,1.0,71.0,71.0,71.0,71.0,29.0,31.0,0.0,1.0,29,0,,0.0,29,Lock,1.0,0.0
