team,team_name,current_points,remaining_events,current_epa_mean,current_epa_norm,qualified_for_dcmp,current_epa,raw_prob,mean_final_points,p10_points,p50_points,p90_points,mean_rank,mean_margin_to_cutline,award_adjustment,calibrated_prob,points_only_rank,rank_delta_vs_points_only,top_swing_event_name,top_swing_event_qual_swing,probability_rank,tier,impact_worst_case_prob,impact_worst_case_delta
1306,BadgerBOTS,146.0,0.0,205.21,1815.0,False,205.21,1.0,146.0,146.0,146.0,146.0,1.1054,98.43713333333334,0.0,1.0,1,0,,,1,Lock,1.0,0.0
1732,Hilltopper Robotics,145.0,0.0,166.28,1747.0,False,166.28,1.0,145.0,145.0,145.0,145.0,2.1259333333333332,97.43713333333334,0.0,1.0,2,0,,,2,Lock,1.0,0.0
2194,Fondy Fire,70.0,1.0,105.77,1649.0,False,105.77,1.0,137.635,130.0,137.0,147.0,2.9112666666666667,90.07213333333333,0.0,1.0,12,9,WIN District Seven Rivers Event presented by Mathy Construction Company,0.0,3,Lock,1.0,0.0
1714,MORE Robotics,130.0,0.0,123.96,1675.0,False,123.96,1.0,130.0,130.0,130.0,130.0,3.948,82.43713333333334,0.0,1.0,3,-1,,,4,Lock,1.0,0.0
1259,Paradigm Shift,56.0,1.0,102.16,1644.0,True,102.16,1.0,117.38366666666667,109.0,117.0,126.0,5.4504,69.8208,0.0,1.0,18,13,WIN District Seven Rivers Event presented by Mathy Construction Company,0.0,5,Lock,1.0,0.0
1792,Round Table Robotics,54.0,1.0,82.57,1604.0,False,82.57,1.0,111.083,103.0,110.0,120.0,6.2498,63.520133333333334,0.0,1.0,19,13,WIN District Seven Rivers Event presented by Mathy Construction Company,0.0,6,Lock,1.0,0.0
930,Mukwonago BEARs,63.0,1.0,80.25,1599.0,False,80.25,1.0,110.81966666666666,103.0,110.0,120.0,6.2342,63.2568,0.0,1.0,14,7,WIN District Seven Rivers Event presented by Mathy Construction Company,0.0,7,Lock,1.0,0.0
3197,HexHounds,94.0,0.0,88.13,1617.0,False,88.13,1.0,94.0,94.0,94.0,94.0,8.0226,46.437133333333335,0.0,1.0,4,-4,,,8,Lock,1.0,0.0
4786,Nicolet FEAR,92.0,0.0,99.14,1640.0,False,99.14,1.0,92.0,92.0,92.0,92.0,9.048866666666667,44.437133333333335,0.0,1.0,5,-4,,,9,Lock,1.0,0.0
7915,Ripon Robotics,91.0,0.0,100.99,1643.0,False,100.99,1.0,91.0,91.0,91.0,91.0,10.062,43.437133333333335,0.0,1.0,6,-4,,,10,Lock,1.0,0.0
2062,CORE 2062,84.0,0.0,80.05,1598.0,False,80.05,1.0,84.0,84.0,84.0,84.0,11.252333333333333,36.437133333333335,0.0,1.0,7,-4,,,11,Lock,1.0,0.0
2202,BEAST Robotics,80.0,0.0,67.66,1570.0,False,67.66,1.0,80.0,80.0,80.0,80.0,12.526666666666667,32.437133333333335,0.0,1.0,8,-4,,,12,Lock,1.0,0.0
10264,STORM,41.0,1.0,56.1,1544.0,False,56.1,1.0,78.7282,71.0,78.0,88.0,13.728866666666667,31.165333333333333,0.0,1.0,29,16,WIN District Seven Rivers Event presented by Mathy Construction Company,0.0,13,Lock,1.0,0.0
93,NEW Apple Corps,78.0,0.0,93.26,1628.0,False,93.26,1.0,78.0,78.0,78.0,78.0,13.734266666666667,30.437133333333332,0.0,1.0,9,-5,,,14,Lock,1.0,0.0
6421,WarriorBots,74.0,0.0,57.99,1548.0,False,57.99,1.0,74.0,74.0,74.0,74.0,15.300866666666666,26.437133333333332,0.0,1.0,10,-5,,,15,Lock,1.0,0.0
